county,total,10less,10to15,15to20,20to25,25to35,25to35,35to50,35to50,35to50,50to75,50to75,75to100,100to150,100to150,150plus,150plus
"Alameda County, California: Summary level: 050, state:06> county:001",219262,9935,8596,6292,6808,6264,6109,6405,6550,5565,14378,19599,27879,23783,17542,23972,29585
"Allegheny County, Pennsylvania: Summary level: 050, state:42> county:003",207516,13997,8148,7332,8182,9277,9331,7584,8617,7124,16289,21381,29545,20159,12105,13631,14814
"Allen County, Indiana: Summary level: 050, state:18> county:003",54107,3522,2160,2234,2707,2241,2498,2293,2485,2114,4667,6125,7985,5557,2856,2333,2330
"Arapahoe County, Colorado: Summary level: 050, state:08> county:005",89665,3960,2211,2117,3325,2863,3391,3079,3419,3256,7210,9375,12497,9776,6920,7745,8521
"Baltimore city, Maryland: Summary level: 050, state:24> county:510",91395,12476,6349,4784,4514,4977,4740,4313,4326,3703,6736,8861,9604,5931,3390,3417,3274
"Bernalillo County, New Mexico: Summary level: 050, state:35> county:001",101476,7527,4705,4220,4499,4161,4668,3911,4499,3525,8016,10578,13470,8879,6516,6457,5845
"Bexar County, Texas: Summary level: 050, state:48> county:029",226501,15081,10505,9685,10653,10372,10194,9690,10489,9330,19011,24203,28290,20892,13483,12062,12561
"Clark County, Nevada: Summary level: 050, state:32> county:003",268298,16548,9824,9213,12103,12107,13317,13394,12757,11698,22989,30468,36719,23835,14827,15401,13098
"Collin County, Texas: Summary level: 050, state:48> county:085",115172,3330,2020,1776,2386,2875,3312,3307,3881,3113,6269,9791,15424,14996,10909,14880,16903
"Cook County, Illinois: Summary level: 050, state:17> county:031",730478,58767,27717,28191,28919,27254,29219,27623,30091,25841,54568,73712,97320,69795,43906,48984,58571
"Cuyahoga County, Ohio: Summary level: 050, state:39> county:035",216789,23230,11164,9226,10066,9176,10222,8982,9978,8909,16188,21426,26923,18165,11313,10569,11252
"Dallas County, Texas: Summary level: 050, state:48> county:113",315191,21073,12426,13412,13812,15028,15312,13921,14490,13108,25395,32672,37526,28340,17636,17501,23539
"Dane County, Wisconsin: Summary level: 050, state:55> county:025",74758,2889,1948,1747,2289,2200,2670,2423,2656,2906,5863,8470,11392,9754,5992,6056,5503
"Davidson County, Tennessee: Summary level: 050, state:47> county:037",92453,6920,4258,4577,4560,4020,5026,4609,4258,3894,8023,10176,11006,6520,4560,4452,5594
"Denver County, Colorado: Summary level: 050, state:08> county:031",84018,7998,4491,4026,3877,3550,3770,3165,3999,3234,6144,7972,9536,6761,3886,5229,6380
"District of Columbia, District of Columbia: Summary level: 050, state:11> county:001",86352,9935,3602,3418,3321,2757,3291,2956,3000,2293,5193,6655,8037,6894,5218,6977,12805
