county,total,10less,10to15,15to20,20to25,25to35,25to35,35to50,35to50,35to50,50to75,50to75,75to100,100to150,100to150,150plus,150plus
"Lucas County, Ohio: Summary level: 050, state:39> county:095",58433,7236,3504,3674,3553,2856,3259,2771,2750,2644,4920,6187,7163,3774,1785,1103,1254
"Maricopa County, Arizona: Summary level: 050, state:04> county:013",529721,34169,19263,21177,25416,25885,29446,25938,28539,24908,45009,58708,72994,47353,28449,23410,19057
"Marion County, Indiana: Summary level: 050, state:18> county:097",140884,12996,7373,8348,8827,8892,9537,7756,7852,6505,12490,14392,16285,9372,4778,3140,2341
"Mecklenburg County, North Carolina: Summary level: 050, state:37> county:119",163320,9067,5147,6315,7783,8841,8698,8656,8131,7812,13579,18155,20955,14004,8109,9153,8915
"Miami-Dade County, Florida: Summary level: 050, state:12> county:086",286142,21730,13745,16564,16778,17373,17246,16314,16049,13002,23893,28617,32029,20679,10517,9835,11771
"Milwaukee County, Wisconsin: Summary level: 050, state:55> county:079",144164,11737,7827,8558,8824,8203,8785,7344,7090,6950,12792,16026,17399,10728,5143,4084,2674
"Multnomah County, Oregon: Summary level: 050, state:41> county:051",127240,8826,5110,6156,6062,6096,6169,5963,6295,5742,10676,13642,17275,12085,6168,6129,4846
"New York County, New York: Summary level: 050, state:36> county:061",308310,17154,8338,7863,8163,7501,9656,7222,9440,6952,18218,25084,34508,29983,20776,30623,66829
"Nueces County, Texas: Summary level: 050, state:48> county:355",41467,2745,2027,2057,2460,2787,2576,2390,2256,1462,3270,4988,5648,3294,1606,1173,728
"Oklahoma County, Oklahoma: Summary level: 050, state:40> county:109",105317,8790,4879,5517,6520,6575,7352,6260,5661,4360,8892,11412,12357,7228,3428,3228,2858
"Orange County, California: Summary level: 050, state:06> county:059",346744,12378,7931,9938,11423,11190,12533,12027,13260,13854,26551,35676,50841,40081,27164,30685,31212
"Miami-Dade County, Florida: Summary level: 050, state:12> county:086",286142,21730,13745,16564,16778,17373,17246,16314,16049,13002,23893,28617,32029,20679,10517,9835,11771
"Orleans Parish, Louisiana: Summary level: 050, state:22> county:071",56156,8136,3479,3642,3781,3260,2822,2702,3009,2465,4024,4902,4851,3214,1738,2137,1994
"Philadelphia County, Pennsylvania: Summary level: 050, state:42> county:101",218144,29079,11620,11125,12627,12208,12652,11459,11554,9438,17778,20512,23833,13965,7582,6963,5749
"Pima County, Arizona: Summary level: 050, state:04> county:019",116615,9207,6231,5619,7280,6358,7007,6563,6485,5746,9667,12556,16098,8202,4470,3188,1938
"Pinellas County, Florida: Summary level: 050, state:12> county:103",101157,7361,3611,4443,5566,5462,6054,5304,6252,5220,9252,11949,13339,7419,3973,3318,2634
"Ramsey County, Minnesota: Summary level: 050, state:27> county:123",74217,4728,2730,3120,3498,3729,4182,3691,3686,3510,5935,8795,11124,6590,3527,3138,2234
"Riverside County, California: Summary level: 050, state:06> county:065",238409,11349,8857,9888,11741,10664,11155,12040,10985,10689,20713,26769,35608,23719,14348,13289,6595
"Sacramento County, California: Summary level: 050, state:06> county:067",191296,11643,8348,7605,8355,9027,10467,9144,9495,8269,16639,21496,27286,18450,9524,9759,5789
"San Diego County, California: Summary level: 050, state:06> county:073",401375,22499,11160,12864,15945,16952,18285,17844,18612,17773,33488,42167,58058,39120,26782,27590,22236
