county,total,owner,u5,5to10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a,renter,u5,5to10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a
"Orange County, Florida: Summary level: 050, state:12> county:095",415790,238762,4522,4623,7732,9615,9882,23232,32933,47553,32576,37260,28834,177028,10663,10478,13868,14730,15207,28442,30932,29297,12093,8173,3145
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,u10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a,,,,,,,,,,,,,
,,own,9145,7732,9615,9882,23232,32933,47553,32576,37260,28834,,,,,,,,,,,,,
,,rent,21141,13868,14730,15207,28442,30932,29297,12093,8173,3145,,,,,,,,,,,,,
,,total,30286,21600,24345,25089,51674,63865,76850,44669,45433,31979,,,,,,,,,,,,,
,,,0.301954699,0.357962963,0.394947628,0.393877795,0.4495878,0.515665858,0.618776838,0.729275336,0.820108732,0.901654211,,,,,,,,,,,,,
