county,total,owner,u5,5to10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a,renter,u5,5to10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a
"Hennepin County, Minnesota: Summary level: 050, state:27> county:053",481263,306704,3391,3010,4943,6885,8293,18195,31350,52837,49526,64521,63753,174559,10223,13241,14516,13288,12397,23228,27412,29345,15119,11218,4572
"Hillsborough County, Florida: Summary level: 050, state:12> county:057",471340,282929,5513,6233,9572,11109,12462,24750,37592,54628,39950,44520,36600,188411,11455,13386,16171,15582,14963,27069,31559,31053,13876,8726,4571
"Hudson County, New Jersey: Summary level: 050, state:34> county:017",243875,79534,941,686,1669,2175,2339,5106,6524,13376,11299,16620,18799,164341,7476,10487,11265,11048,9911,16294,20668,26690,17466,17766,15270
"Jackson County, Missouri: Summary level: 050, state:29> county:095",271545,165840,3161,2862,5134,6062,6782,16005,23114,33589,26652,26597,15882,105705,8670,10005,10883,9600,8654,15833,15584,15476,6428,3357,1215
"Jefferson County, Kentucky: Summary level: 050, state:21> county:111",305832,191611,2646,3476,5951,7435,8330,17526,26979,38935,29046,30377,20910,114221,8915,10935,13209,10461,10082,17354,17369,14783,5881,3539,1693
"Kern County, California: Summary level: 050, state:06> county:029",255271,148163,2428,2494,5779,6188,6508,13492,19009,28898,22054,24763,16550,107108,5843,6762,12117,10160,8885,15540,15312,16781,7689,6092,1927
"King County, Washington: Summary level: 050, state:53> county:033",802606,466964,5660,3630,7133,8419,10144,23651,39925,72940,67957,106909,120596,335642,16821,19254,19749,18934,20143,37522,52225,60408,37341,34154,19091
"Lancaster County, Nebraska: Summary level: 050, state:31> county:109",115237,69302,665,764,1336,1963,1963,4905,9106,14843,12756,13116,7885,45935,2994,3725,5145,3666,4030,7949,7780,6969,2315,1061,301
"Los Angeles County, California: Summary level: 050, state:06> county:037",3230383,1515098,25143,20071,36050,41012,47739,96952,156712,254138,220008,295009,322264,1715285,85175,78661,154250,132368,120001,213229,254144,291231,164873,142809,78544
"Lubbock County, Texas: Summary level: 050, state:48> county:303",105277,61577,876,1129,2208,2379,2921,6096,8802,12596,8993,9409,6168,43700,4236,3833,4231,4249,4114,6175,6717,6025,2039,1422,659
"Lucas County, Ohio: Summary level: 050, state:39> county:095",178101,110797,2344,2295,3737,5257,5921,11563,16176,23581,15922,15438,8563,67304,7826,8192,7587,7420,6059,9151,8592,7564,2825,1495,593
"Maricopa County, Arizona: Summary level: 050, state:04> county:013",1411727,882862,18004,13761,24914,30768,33990,75392,114648,172067,127995,156121,115202,528865,34971,29254,39201,39610,40606,74864,88624,88876,47625,32484,12750
"Marion County, Indiana: Summary level: 050, state:18> county:097",360072,201078,3858,2986,6468,8741,9082,20026,30506,42199,30508,29771,16933,158994,13351,13703,15920,14882,14531,26440,25213,21045,8059,4290,1560
"Mecklenburg County, North Carolina: Summary level: 050, state:37> county:119",366689,218240,3155,2724,5346,5890,7059,15943,26435,42254,31518,39020,38896,148449,8961,9336,10953,11104,11638,22305,25293,24918,11414,7912,4615
