,B19037_001E,B19037_002E,10less,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150plus
"Orange County, Florida: Summary level: 050, state:12> county:095",415790,25540,5537,2523,2722,2687,3744,3413,3550,699,568,97
,,,0.216797181,0.098786218,0.106577917,0.105207518,0.146593579,0.133633516,0.138997651,0.027368833,0.022239624,0.003797964
