county,total,10less,10to15,15to20,20to25,25to35,25to35,35to50,35to50,35to50,50to75,50to75,75to100,100to150,100to150,150plus,150plus
"Maricopa County, Arizona: Summary level: 050, state:04> county:013",295356,16776,20222,24164,22219,21750,19768,18022,17179,14324,24686,27436,29070,15457,8365,7754,8164
"Marion County, Indiana: Summary level: 050, state:18> county:097",64334,4403,6393,6191,5717,5410,4619,4004,3735,3368,5370,5073,4811,2241,1034,1001,964
"Mecklenburg County, North Carolina: Summary level: 050, state:37> county:119",54053,3438,4199,4295,4084,3812,3411,3238,2493,2429,4952,5177,4837,2563,1667,1584,1874
"Miami-Dade County, Florida: Summary level: 050, state:12> county:086",188928,33488,23670,19268,15048,11422,10036,8026,7522,6624,10275,11295,11907,7057,3795,3977,5518
"Milwaukee County, Wisconsin: Summary level: 050, state:55> county:079",73455,5399,8187,8420,7311,5883,5180,4365,3783,3291,4893,5397,5245,2512,1232,1256,1101
"Multnomah County, Oregon: Summary level: 050, state:41> county:051",52612,4028,4674,4910,3744,3885,3188,2978,2521,2225,3823,4840,4982,2483,1233,1269,1829
"New York County, New York: Summary level: 050, state:36> county:061",153101,21772,17068,12291,9921,7826,6829,5705,5285,4251,7790,9130,10271,8078,5276,6017,15591
"Nueces County, Texas: Summary level: 050, state:48> county:355",26364,2455,2869,2290,1973,1853,1808,1458,1287,1126,2287,2012,1863,1353,706,592,432
"Oklahoma County, Oklahoma: Summary level: 050, state:40> county:109",57474,3618,5146,5015,4947,4377,3484,3553,2960,2823,4442,5033,5202,2539,1442,1249,1644
"Orange County, California: Summary level: 050, state:06> county:059",209552,10639,14512,14438,12669,12565,11288,10419,8916,8408,15181,19318,23013,14267,9982,10563,13374
"Miami-Dade County, Florida: Summary level: 050, state:12> county:086",188928,33488,23670,19268,15048,11422,10036,8026,7522,6624,10275,11295,11907,7057,3795,3977,5518
"Orleans Parish, Louisiana: Summary level: 050, state:22> county:071",26346,3574,3420,2661,1854,2015,1548,1232,1022,723,1644,1796,1839,878,679,609,852
"Philadelphia County, Pennsylvania: Summary level: 050, state:42> county:101",122321,16373,17821,13157,12369,8960,7551,6191,5080,4521,6878,7552,7038,3243,2106,1659,1822
"Pima County, Arizona: Summary level: 050, state:04> county:019",98894,5910,7835,7838,8081,7167,6353,6498,5533,4857,8239,9125,9036,4996,2988,2139,2299
"Pinellas County, Florida: Summary level: 050, state:12> county:103",129010,9084,11879,13297,11964,10179,9558,7965,7185,5937,10553,9545,9462,5002,2386,2385,2629
"Ramsey County, Minnesota: Summary level: 050, state:27> county:123",40800,2915,2973,3285,3459,2615,3094,1990,2181,1926,3372,3508,4090,2170,1308,1029,885
"Riverside County, California: Summary level: 050, state:06> county:065",155881,8353,13694,13285,12495,10668,10714,8808,8313,7307,11928,13622,13563,8361,4702,4923,5145
"Sacramento County, California: Summary level: 050, state:06> county:067",100353,4922,8674,7488,7536,6264,6644,6385,5454,4185,8311,9623,9702,5990,3649,3072,2454
"San Diego County, California: Summary level: 050, state:06> county:073",212462,11046,16989,15485,14145,13136,12259,11153,9389,8816,15762,19329,23026,14291,8721,9325,9590
"San Francisco County, California: Summary level: 050, state:06> county:075",69022,5525,10444,5877,4795,3674,3445,2667,2806,2325,3717,4597,5714,4024,2620,2767,4025
"San Joaquin County, California: Summary level: 050, state:06> county:077",42588,2343,4107,3498,3215,2869,2571,2705,2410,2089,3498,3578,3747,2456,1212,1278,1012
"Santa Clara County, California: Summary level: 050, state:06> county:085",113145,5344,8405,7685,6786,5828,5328,5065,5278,4587,8020,9972,11911,8698,5802,6562,7874
"Sedgwick County, Kansas: Summary level: 050, state:20> county:173",37661,2431,3040,3742,2952,2840,2617,2605,2205,1876,3082,3374,2953,1670,857,576,841
"Shelby County, Tennessee: Summary level: 050, state:47> county:157",62800,5418,5910,5482,5499,4502,3593,3452,2853,2711,4828,4987,5490,2807,1704,1768,1796
"St. Louis County, Missouri: Summary level: 050, state:29> county:189",97928,5056,6480,7796,8014,7251,5993,5696,5086,4660,8236,9445,9215,5029,2799,3254,3918
"Suffolk County, Massachusetts: Summary level: 050, state:25> county:025",51474,7105,8679,5310,3334,2801,2487,1823,1882,1911,2801,3106,3591,2060,1251,1420,1913
"Tarrant County, Texas: Summary level: 050, state:48> county:439",104878,6687,8306,8451,7750,6961,6820,5769,5479,4386,8302,9615,10709,5634,3645,3161,3203
"Travis County, Texas: Summary level: 050, state:48> county:453",49216,2797,2859,2964,2520,2592,2544,2899,2564,2038,3761,5459,5681,3682,2014,2062,2780
"Tulsa County, Oklahoma: Summary level: 050, state:40> county:143",48732,3259,4531,4876,3734,3757,3364,2943,2471,2186,4009,4071,3813,2081,1137,1150,1350
"Virginia Beach city, Virginia: Summary level: 050, state:51> county:810",30100,1120,1839,2046,1876,1950,1818,1544,1526,1299,2417,3218,3535,2124,1257,1276,1255
"Wake County, North Carolina: Summary level: 050, state:37> county:183",51153,2373,3427,3536,3418,3214,3280,2768,2166,2277,4341,5156,6126,3411,2005,1736,1919
"Wayne County, Michigan: Summary level: 050, state:26> county:163",154610,14079,15310,14771,14085,12732,11109,9403,8734,6958,11739,12260,10965,5603,2887,2125,1850
"Webb County, Texas: Summary level: 050, state:48> county:479",10786,2023,1540,1139,849,639,548,451,430,276,789,605,621,281,195,214,186
