c1,c2,net,dist
14,73,-4,887
15,36,-4,2299
15,39,-4,1425
16,17,-4,999
16,22,-4,1140
16,34,-4,597
16,53,-4,1103
16,68,-4,763
17,27,-4,50
17,34,-4,402
18,53,-4,763
18,69,-4,915
20,42,-4,1251
21,63,-4,1046
22,46,-4,2414
22,57,-4,2325
23,48,-4,1043
24,63,-4,792
25,31,-4,2248
25,73,-4,1335
26,73,-4,975
27,48,-4,1193
27,73,-4,1279
28,36,-4,1938
29,59,-4,1275
29,70,-4,1211
30,64,-4,704
31,32,-4,1001
31,46,-4,2498
31,65,-4,876
32,37,-4,1180
33,73,-4,828
34,56,-4,608
35,49,-4,1198
35,56,-4,1501
35,72,-4,1953
36,48,-4,1886
37,56,-4,344
37,65,-4,362
39,64,-4,688
40,64,-4,558
40,68,-4,1107
41,53,-4,2104
43,48,-4,1116
44,55,-4,208
45,61,-4,1774
46,65,-4,1695
47,72,-4,493
49,64,-4,423
50,52,-4,1649
51,52,-4,524
51,53,-4,868
51,66,-4,1114
52,65,-4,595
54,59,-4,295
57,62,-4,400
58,67,-4,1401
59,70,-4,2303
62,71,-4,2372
64,69,-4,345
67,70,-4,1233
68,71,-4,1168
0,2,-3,1967
0,13,-3,1931
0,14,-3,927
0,23,-3,2028
0,26,-3,2102
0,29,-3,1607
0,67,-3,1424
1,31,-3,876
1,63,-3,955
2,36,-3,1851
3,15,-3,1457
3,16,-3,444
3,32,-3,1592
3,42,-3,965
3,53,-3,1543
4,5,-3,1672
5,69,-3,606
6,9,-3,1044
6,30,-3,1110
6,40,-3,1183
6,59,-3,1103
7,42,-3,1584
8,14,-3,647
8,31,-3,922
8,66,-3,1522
9,32,-3,717
9,55,-3,1003
9,64,-3,473
9,66,-3,858
11,19,-3,602
11,38,-3,1238
11,71,-3,1054
12,39,-3,935
13,39,-3,870
13,45,-3,476
13,48,-3,862
13,70,-3,596
14,22,-3,1608
14,69,-3,547
16,46,-3,1344
17,23,-3,338
17,50,-3,2196
18,22,-3,834
18,42,-3,700
18,54,-3,1778
19,37,-3,437
20,22,-3,1876
20,56,-3,1156
20,69,-3,662
20,71,-3,1603
20,72,-3,1453
21,48,-3,1483
22,23,-3,577
23,40,-3,251
24,73,-3,1257
25,27,-3,2201
25,28,-3,1908
25,29,-3,1474
25,53,-3,2397
25,61,-3,120
26,42,-3,424
26,72,-3,590
27,45,-3,647
29,66,-3,1600
30,34,-3,620
30,40,-3,546
31,37,-3,1206
31,47,-3,1008
31,62,-3,2363
31,70,-3,710
32,34,-3,643
32,47,-3,7
35,40,-3,1933
35,67,-3,1238
35,68,-3,1261
37,45,-3,474
40,42,-3,182
40,69,-3,761
40,72,-3,49
40,73,-3,1304
42,56,-3,506
44,45,-3,1273
44,47,-3,1116
44,54,-3,1935
44,66,-3,1275
45,46,-3,1701
47,49,-3,1320
47,60,-3,2569
47,63,-3,1272
48,53,-3,1538
48,61,-3,1537
48,62,-3,1542
50,65,-3,1555
50,70,-3,2345
53,64,-3,872
54,72,-3,1709
55,66,-3,1190
56,70,-3,1054
58,70,-3,2456
60,69,-3,1462
64,70,-3,780
64,71,-3,634
71,72,-3,513
0,6,-2,1454
0,16,-2,1390
0,53,-2,2493
2,22,-2,564
3,18,-2,1429
3,30,-2,666
3,34,-2,1007
3,64,-2,849
4,25,-2,2327
4,28,-2,423
4,42,-2,509
4,67,-2,1236
5,22,-2,1800
5,32,-2,1809
6,18,-2,1010
6,31,-2,988
6,50,-2,1168
6,71,-2,1234
7,10,-2,1820
7,12,-2,1435
7,31,-2,1988
7,48,-2,1172
7,52,-2,1509
7,73,-2,1086
8,26,-2,698
9,61,-2,1782
9,62,-2,1821
10,17,-2,401
11,59,-2,1157
12,35,-2,1648
14,33,-2,564
14,35,-2,817
14,48,-2,929
15,28,-2,404
15,34,-2,470
15,40,-2,396
15,73,-2,1495
17,24,-2,353
17,45,-2,682
18,37,-2,1107
18,49,-2,979
19,31,-2,1481
19,45,-2,910
19,48,-2,863
19,52,-2,1028
20,52,-2,975
20,58,-2,968
22,35,-2,2423
22,48,-2,1604
22,52,-2,1150
23,46,-2,2003
25,47,-2,2450
25,52,-2,1769
25,70,-2,2392
25,71,-2,2267
26,32,-2,745
26,49,-2,745
26,56,-2,901
26,66,-2,935
27,35,-2,2172
28,37,-2,652
28,46,-2,1964
28,52,-2,702
29,54,-2,982
30,32,-2,1023
30,53,-2,993
31,69,-2,978
32,46,-2,2424
32,63,-2,1266
32,64,-2,942
33,72,-2,622
34,48,-2,1000
35,42,-2,1801
35,45,-2,1721
35,66,-2,2576
35,71,-2,2238
37,39,-2,570
37,53,-2,1132
37,55,-2,1189
38,44,-2,2319
38,68,-2,1222
39,65,-2,723
41,46,-2,993
41,47,-2,2168
41,52,-2,1344
41,60,-2,635
41,69,-2,957
41,71,-2,1923
41,72,-2,1699
42,54,-2,1523
43,57,-2,1995
44,52,-2,647
44,59,-2,2227
44,61,-2,2515
46,51,-2,2514
46,52,-2,2053
46,64,-2,1840
46,73,-2,1762
47,58,-2,2496
48,56,-2,1221
48,64,-2,688
48,65,-2,860
49,66,-2,1484
50,68,-2,1191
51,58,-2,2381
51,61,-2,2376
51,65,-2,871
51,73,-2,1094
52,54,-2,1301
52,68,-2,470
52,71,-2,763
52,73,-2,591
53,63,-2,1208
54,55,-2,1758
55,63,-2,1086
56,63,-2,555
57,71,-2,2112
58,64,-2,1744
58,73,-2,1466
59,73,-2,1098
61,70,-2,2460
61,73,-2,1449
62,68,-2,1448
63,69,-2,135
63,70,-2,1176
64,66,-2,1125
68,70,-2,1324
69,70,-2,1104
0,4,-1,2426
0,17,-1,2360
0,20,-1,975
0,31,-1,2376
0,32,-1,2539
0,44,-1,2546
0,52,-1,1898
0,72,-1,2051
1,18,-1,707
1,48,-1,1335
2,17,-1,484
2,52,-1,811
3,13,-1,985
3,22,-1,1582
3,28,-1,1055
3,52,-1,1051
3,55,-1,1475
3,66,-1,1734
4,14,-1,1500
4,46,-1,2343
4,52,-1,988
4,56,-1,930
4,69,-1,1077
5,66,-1,1969
5,72,-1,1351
6,10,-1,1256
6,17,-1,1226
6,33,-1,702
6,55,-1,963
6,60,-1,1485
8,15,-1,1159
8,28,-1,787
8,32,-1,1343
8,46,-1,1613
8,53,-1,1274
8,56,-1,838
8,73,-1,410
9,18,-1,866
9,35,-1,1719
9,52,-1,824
9,54,-1,1478
10,37,-1,783
10,64,-1,620
11,32,-1,1367
11,50,-1,1212
11,55,-1,901
13,15,-1,567
13,57,-1,1657
13,68,-1,752
14,15,-1,1484
14,17,-1,1436
14,51,-1,1544
14,52,-1,1079
14,70,-1,1570
15,16,-1,1023
15,35,-1,2292
15,46,-1,2336
15,56,-1,926
16,27,-1,952
16,47,-1,1155
17,54,-1,1895
18,28,-1,633
18,33,-1,935
18,35,-1,2166
18,46,-1,2423
18,70,-1,550
19,22,-1,1605
19,54,-1,619
20,24,-1,1414
20,43,-1,1480
20,47,-1,1891
20,70,-1,1750
21,68,-1,1357
22,65,-1,872
23,27,-1,292
23,37,-1,678
23,45,-1,389
24,68,-1,1065
25,55,-1,2225
27,61,-1,2274
27,69,-1,901
28,65,-1,320
30,48,-1,1216
30,57,-1,1425
30,70,-1,1070
31,35,-1,2191
31,41,-1,1827
31,45,-1,1089
31,66,-1,1178
32,35,-1,2433
32,39,-1,1598
32,42,-1,640
32,54,-1,2163
32,72,-1,489
33,39,-1,558
34,46,-1,1940
35,43,-1,2125
35,52,-1,1709
35,70,-1,2366
36,52,-1,2076
36,61,-1,661
37,71,-1,1035
38,66,-1,2582
39,69,-1,375
41,70,-1,2062
43,58,-1,2232
44,46,-1,2684
44,50,-1,2289
44,57,-1,2188
44,60,-1,2577
44,63,-1,1293
47,48,-1,1618
47,64,-1,949
47,65,-1,888
48,58,-1,1553
51,59,-1,2112
52,61,-1,1868
52,63,-1,682
52,67,-1,474
53,58,-1,2447
54,64,-1,1275
54,66,-1,2325
54,70,-1,2050
55,57,-1,2006
55,60,-1,2384
55,73,-1,1014
58,71,-1,2338
59,67,-1,1127
60,70,-1,2525
61,66,-1,2631
61,71,-1,2341
61,72,-1,2013
62,70,-1,2494
63,68,-1,508
65,69,-1,348
66,68,-1,1692
68,72,-1,1152
0,18,0,2340
0,22,0,2529
0,24,0,2083
0,43,0,2270
0,45,0,1812
0,56,0,1568
0,66,0,2670
0,70,0,2498
0,73,0,1473
1,39,0,1290
1,46,0,2147
1,68,0,1219
2,39,0,1053
2,48,0,1167
3,10,0,1194
3,35,0,842
3,60,0,983
3,70,0,1542
3,71,0,1424
4,15,0,35
4,16,0,1037
4,33,0,949
4,60,0,2453
5,10,0,1421
5,15,0,1651
5,18,0,1484
5,44,0,1681
5,47,0,1815
5,52,0,1034
5,64,0,946
6,13,0,824
6,32,0,1580
6,70,0,1391
7,15,0,2075
7,51,0,2022
8,24,0,884
8,47,0,1349
8,71,0,1034
9,19,0,902
9,22,0,707
9,71,0,646
10,32,0,398
10,55,0,934
12,41,0,1414
12,61,0,1700
12,66,0,931
12,70,0,830
12,71,0,763
14,53,0,1570
14,60,0,955
14,64,0,878
14,66,0,1759
15,45,0,637
15,60,0,2438
15,63,0,1109
15,72,0,403
16,70,0,1121
17,28,0,379
17,55,0,602
18,31,0,169
18,66,0,1017
19,24,0,1148
19,49,0,452
19,68,0,700
19,70,0,1554
20,23,0,1304
20,55,0,1431
20,66,0,2055
20,68,0,510
22,33,0,1070
22,41,0,2152
22,55,0,1009
22,60,0,2554
22,67,0,1385
23,35,0,1897
24,61,0,2045
25,65,0,1595
25,66,0,2582
26,27,0,308
26,34,0,311
26,53,0,670
26,57,0,1804
27,33,0,823
27,65,0,612
27,66,0,635
28,32,0,564
28,49,0,749
28,57,0,1779
28,61,0,1973
30,33,0,417
30,47,0,1027
30,52,0,1052
30,61,0,1511
31,48,0,936
31,50,0,2131
31,53,0,929
31,58,0,2351
31,61,0,2344
32,33,0,1080
32,48,0,1611
32,56,0,1005
32,57,0,2334
32,61,0,2500
32,68,0,1509
32,73,0,1690
33,68,0,630
33,71,0,889
34,35,0,1831
34,39,0,956
34,61,0,1925
35,51,0,2227
38,47,0,2440
40,48,0,1243
41,66,0,2319
42,52,0,706
42,68,0,926
42,73,0,1122
43,52,0,639
44,62,0,2532
45,48,0,1187
46,49,0,1475
46,54,0,1088
46,60,0,538
46,66,0,2521
47,52,0,1163
47,57,0,2340
47,62,0,2544
47,68,0,1516
48,70,0,1403
50,64,0,1586
50,66,0,2577
52,56,0,1050
53,61,0,2455
53,69,0,1160
55,61,0,2321
56,73,0,1241
57,66,0,2486
59,66,0,2547
60,64,0,1807
60,72,0,2077
66,69,0,1393
66,73,0,1876
69,71,0,966
70,73,0,1490
0,12,1,1739
0,15,1,2411
0,51,1,2408
0,68,1,1465
1,32,1,311
1,73,1,1407
2,6,1,1104
2,15,1,452
2,61,1,1928
2,65,1,332
3,44,1,1681
4,7,1,2093
4,19,1,1491
4,35,1,2310
4,54,1,2022
4,62,1,2424
4,64,1,783
4,71,1,267
4,73,1,1526
5,53,1,1751
5,71,1,1573
6,24,1,1139
6,34,1,952
6,35,1,1245
6,52,1,518
7,70,1,2149
8,22,1,1334
8,55,1,899
9,57,1,1628
10,13,1,456
10,20,1,1511
10,63,1,879
11,35,1,1267
11,61,1,1421
12,18,1,978
12,28,1,369
12,47,1,809
12,57,1,1568
13,32,1,756
13,55,1,616
13,56,1,695
13,72,1,462
14,20,1,557
14,31,1,1525
14,32,1,1618
14,39,1,457
14,45,1,904
14,47,1,1624
14,55,1,1505
14,68,1,764
14,71,1,1453
15,37,1,1049
15,48,1,1414
15,49,1,1143
15,52,1,955
15,54,1,1999
15,70,1,157
16,39,1,614
16,48,1,941
16,66,1,1289
16,72,1,666
17,20,1,1592
17,35,1,2222
17,39,1,1309
17,48,1,1238
17,56,1,969
18,45,1,942
18,58,1,2310
18,62,1,2329
18,63,1,1034
18,67,1,933
19,20,1,497
19,26,1,1167
19,32,1,1615
19,63,1,391
19,66,1,1761
19,67,1,582
20,25,1,838
20,53,1,1821
20,73,1,498
21,26,1,692
21,69,1,1024
22,25,1,2435
22,31,1,999
22,39,1,1589
22,64,1,934
22,69,1,1214
23,39,1,1017
23,49,1,735
23,68,1,927
24,32,1,474
24,35,1,1967
24,71,1,374
25,26,1,1984
25,44,1,2416
26,52,1,411
27,68,1,1112
28,35,1,1888
28,70,1,491
29,60,1,1638
30,42,1,519
30,51,1,1317
30,54,1,1326
31,57,1,2030
31,60,1,2407
32,52,1,1156
32,70,1,295
33,35,1,1362
34,58,1,1921
34,63,1,643
35,44,1,2354
35,69,1,1276
35,73,1,1254
36,65,1,1683
37,57,1,1165
39,42,1,965
39,52,1,741
39,60,1,1189
39,61,1,1128
39,70,1,1466
41,51,1,1867
41,55,1,1802
42,48,1,1061
42,50,1,1790
42,61,1,1882
42,66,1,804
42,67,1,786
45,52,1,903
45,65,1,328
46,47,1,2427
46,70,1,2451
46,71,1,2359
47,54,1,2169
47,61,1,2505
47,66,1,182
48,50,1,1262
48,52,1,493
48,66,1,1799
49,56,1,692
49,70,1,1191
50,71,1,2211
51,60,1,2439
52,53,1,1080
52,60,1,1929
52,72,1,923
53,57,1,2279
53,60,1,2519
53,70,1,229
55,56,1,1311
55,58,1,2328
55,59,1,2047
55,62,1,2340
57,70,1,2247
58,66,1,2620
60,66,1,2695
60,71,1,2406
62,66,1,2672
63,66,1,1427
71,73,1,1332
0,11,2,1452
0,41,2,605
0,47,2,2544
0,55,2,2353
1,3,2,1285
1,33,2,769
1,67,2,1094
2,31,2,924
4,8,2,1186
4,13,2,595
4,18,2,683
4,24,2,343
4,39,2,1450
4,58,2,2381
4,59,2,2261
5,51,2,1547
