c1, c2, dist, nm
4, 35, 2310, 0
4, 36, 2304, -3
4, 37, 1064, -2
4, 38, 2307, 13
4, 39, 1450, -2
4, 40, 402, -6
4, 41, 2025, 5
4, 42, 509, 5
4, 43, 363, 3
4, 44, 974, 5
4, 45, 642, 13
4, 46, 2343, 3
4, 47, 174, 9
4, 48, 1446, 0
4, 49, 1167, 9
4, 50, 2298, 7
4, 51, 792, 5
4, 52, 988, 0
4, 53, 92, 3
4, 54, 2022, 3
4, 55, 860, 3
4, 56, 930, 0
4, 57, 2203, 1
4, 58, 2381, 9
4, 59, 2261, 1
4, 60, 2453, 2
4, 61, 2388, -2
4, 62, 2424, 3
4, 63, 1130, 1
4, 64, 783, 3
4, 65, 744, 5
4, 66, 357, 8
4, 67, 1236, 8
4, 68, 1347, 1
4, 69, 1077, 0
4, 70, 178, 8
4, 71, 267, -10
4, 72, 405, 7
4, 73, 1526, -1
5, 6, 612, 15
5, 7, 475, 26
5, 8, 591, 16
5, 9, 1119, -14
5, 10, 1421, -5
5, 11, 588, 16
5, 12, 1075, -6
5, 13, 1117, -13
5, 14, 339, -29
5, 15, 1651, -3
5, 16, 714, -21
5, 17, 1558, -10
5, 18, 1484, -7
5, 19, 286, -49
5, 20, 228, 25
5, 21, 1585, -19
5, 22, 1800, 1
5, 23, 1246, -4
5, 24, 1336, 0
5, 25, 735, 25
5, 26, 1266, -15
5, 27, 1508, -10
5, 28, 1248, -3
5, 29, 747, 26
5, 30, 977, -2
5, 31, 1512, 4
5, 32, 1809, -3
5, 33, 731, -15
5, 34, 1181, -2
5, 35, 681, 10
5, 36, 1160, 1
5, 37, 672, -15
5, 38, 658, 87
5, 39, 293, 4
5, 40, 1322, -20
5, 41, 353, 42
5, 42, 1169, -1
5, 43, 1455, -2
5, 44, 1681, 1
5, 45, 1141, -7
5, 46, 1098, -2
5, 47, 1815, 2
5, 48, 734, 4
5, 49, 522, 17
5, 50, 639, 15
5, 51, 1547, 14
5, 52, 1034, -4
5, 53, 1751, 0
5, 54, 359, 25
5, 55, 1489, 5
5, 56, 992, -10
5, 57, 540, 16
5, 58, 844, 22
5, 59, 593, 67
5, 60, 895, -3
5, 61, 834, 16
5, 62, 851, 1
5, 63, 543, -18
5, 64, 946, -11
5, 65, 928, -3
5, 66, 1969, -4
5, 67, 559, 14
5, 68, 610, 9
5, 69, 606, -19
5, 70, 1709, 3
5, 71, 1573, -5
5, 72, 1351, -9
5, 73, 663, 1
6, 7, 1063, 12
6, 8, 283, -40
6, 9, 1044, -5
6, 10, 1256, -3
6, 11, 251, -50
6, 12, 1067, 2
6, 13, 824, -8
6, 14, 798, -10
6, 15, 1387, -1
6, 16, 829, -15
6, 17, 1226, -1
6, 18, 1010, 1
6, 19, 732, -5
6, 20, 486, 15
6, 21, 1431, 2
6, 22, 1572, 2
6, 23, 1000, -10
6, 24, 1139, -12
6, 25, 1319, -10
6, 26, 879, -8
6, 27, 1179, -7
6, 28, 1042, 5
6, 29, 189, -12
6, 30, 1110, -8
6, 31, 988, -3
6, 32, 1580, -1
6, 33, 702, -9
6, 34, 952, -9
6, 35, 1245, 5
6, 36, 1759, -5
6, 37, 790, -8
6, 38, 1201, 5
6, 39, 346, -30
6, 40, 1183, -5
6, 41, 866, 31
6, 42, 1001, -2
6, 43, 1106, -2
6, 44, 1130, 6
6, 45, 1105, 1
6, 46, 1706, -2
6, 47, 1587, -5
6, 48, 130, 23
6, 49, 426, -10
6, 50, 1168, 0
6, 51, 1037, 0
6, 52, 518, 6
6, 53, 1509, -11
6, 54, 808, 8
6, 55, 963, 1
6, 56, 1116, -4
6, 57, 1069, 12
6, 58, 1442, -1
6, 59, 1103, 0
6, 60, 1485, -2
6, 61, 1428, -2
6, 62, 1436, 4
6, 63, 572, -18
6, 64, 641, -18
6, 65, 784, -2
6, 66, 1764, -1
6, 67, 241, -26
6, 68, 75, 0
6, 69, 485, -25
6, 70, 1391, 5
6, 71, 1234, -4
6, 72, 1227, -1
6, 73, 126, 8
7, 8, 1067, -16
7, 9, 1504, 1
7, 10, 1820, -6
7, 11, 1064, -11
7, 12, 1435, -6
7, 13, 1569, 2
7, 14, 603, -25
7, 15, 2075, -8
7, 16, 1072, -8
7, 17, 2005, 2
7, 18, 1958, 4
7, 19, 602, -17
7, 20, 588, -21
7, 21, 1972, -6
7, 22, 2207, 0
7, 23, 1680, -6
7, 24, 1750, -1
7, 25, 260, -68
7, 26, 1730, -4
7, 27, 1955, -6
7, 28, 1671, -5
7, 29, 1215, -13
7, 30, 1277, -6
7, 31, 1988, -5
7, 32, 2217, -1
7, 33, 1145, -10
7, 34, 1614, -8
7, 35, 217, -58
7, 36, 853, 2
7, 37, 1038, -11
7, 38, 223, 24
7, 39, 768, -25
7, 40, 1717, -7
7, 41, 243, 79
7, 42, 1584, -7
7, 43, 1909, -1
7, 44, 2156, 1
7, 45, 1507, 3
7, 46, 751, 0
7, 47, 2223, -2
7, 48, 1172, 0
7, 49, 985, -9
7, 50, 232, 21
7, 51, 2022, -2
7, 52, 1509, -2
7, 53, 2166, 1
7, 54, 338, 12
7, 55, 1965, 0
7, 56, 1295, 5
7, 57, 179, 45
7, 58, 380, -40
7, 59, 240, -3
7, 60, 423, -6
7, 61, 364, -31
7, 62, 376, -11
7, 63, 973, -13
7, 64, 1407, -8
7, 65, 1354, -3
7, 66, 2362, -2
7, 67, 1035, -6
7, 68, 1073, -15
7, 69, 1062, -10
7, 70, 2149, -1
7, 71, 2021, 3
7, 72, 1738, -6
7, 73, 1086, -6
8, 9, 765, 12
8, 10, 995, -4
8, 11, 31, 60
8, 12, 784, -6
8, 13, 592, 0
8, 14, 647, -10
8, 15, 1159, -1
8, 16, 560, -3
8, 17, 1023, -1
8, 18, 895, 7
8, 19, 590, -10
8, 20, 572, 6
8, 21, 1171, -9
8, 22, 1334, -2
8, 23, 757, -10
8, 24, 884, -5
8, 25, 1326, 7
8, 26, 698, 4
8, 27, 973, -5
8, 28, 787, -3
8, 29, 240, 15
8, 30, 833, 0
8, 31, 922, 7
8, 32, 1343, 5
8, 33, 420, -18
8, 34, 701, 0
8, 35, 1272, 13
8, 36, 1644, -11
8, 37, 524, -12
8, 38, 1244, 49
8, 39, 304, 7
8, 40, 916, -2
8, 41, 919, 17
8, 42, 735, -8
8, 43, 909, -7
8, 44, 1094, 5
8, 45, 823, -6
8, 46, 1613, -2
8, 47, 1349, 0
8, 48, 383, 7
8, 49, 170, -42
8, 50, 1220, 2
8, 51, 955, -2
8, 52, 448, 6
8, 53, 1274, -5
8, 54, 888, 8
8, 55, 899, -1
8, 56, 838, -8
8, 57, 1119, 12
8, 58, 1429, 20
8, 59, 1166, 4
8, 60, 1484, -4
8, 61, 1422, 2
8, 62, 1441, -1
8, 63, 314, -17
8, 64, 405, -16
8, 65, 508, -14
8, 66, 1522, -2
8, 67, 50, 63
8, 68, 210, 37
8, 69, 206, -23
8, 70, 1184, 4
8, 71, 1034, -5
8, 72, 958, -8
8, 73, 410, 6
9, 10, 320, -62
9, 11, 796, 2
9, 12, 117, -93
9, 13, 396, -22
9, 14, 902, 14
9, 15, 603, 2
9, 16, 432, -6
9, 17, 626, -15
9, 18, 866, -4
9, 19, 902, 3
9, 20, 1230, -10
9, 21, 469, -77
9, 22, 707, 5
9, 23, 317, -70
9, 24, 282, -120
9, 25, 1727, 1
9, 26, 585, -10
9, 27, 587, -38
9, 28, 251, -113
9, 29, 929, 9
9, 30, 358, -6
9, 31, 1010, 3
9, 32, 717, -5
9, 33, 395, -15
9, 34, 277, -34
9, 35, 1719, -3
9, 36, 1700, -11
9, 37, 465, 2
9, 38, 1723, 14
9, 39, 951, 0
9, 40, 215, -66
9, 41, 1466, 6
9, 42, 167, -14
9, 43, 592, -19
9, 44, 1195, 9
9, 45, 80, -74
9, 46, 1734, -14
9, 47, 722, 9
9, 48, 1122, -4
9, 49, 674, -10
9, 50, 1719, 12
9, 51, 988, 1
9, 52, 824, -4
9, 53, 673, -8
9, 54, 1478, -4
9, 55, 1003, -5
9, 56, 344, -59
9, 57, 1628, 5
9, 58, 1773, 6
9, 59, 1690, 16
9, 60, 1847, -6
9, 61, 1782, 2
9, 62, 1821, 12
9, 63, 586, -14
9, 64, 473, -19
9, 65, 261, -26
9, 66, 858, -12
9, 67, 813, -12
9, 68, 969, -11
9, 69, 588, -16
9, 70, 719, -10
9, 71, 646, -6
9, 72, 234, -80
9, 73, 1170, -9
10, 11, 1023, 11
10, 12, 413, 63
10, 13, 456, 10
10, 14, 1220, -3
10, 15, 300, 1
10, 16, 751, 12
10, 17, 401, 7
10, 18, 767, 3
10, 19, 1218, 19
10, 20, 1511, 1
10, 21, 176, -628
10, 22, 388, 28
10, 23, 277, 32
10, 24, 123, 110
10, 25, 2047, 13
10, 26, 549, 17
10, 27, 383, 59
10, 28, 216, 56
10, 29, 1108, 11
10, 30, 644, 20
10, 31, 933, 7
10, 32, 398, 7
10, 33, 690, 3
10, 34, 308, 22
10, 35, 2036, 6
10, 36, 2001, -53
10, 37, 783, -3
10, 38, 2038, 38
10, 39, 1226, 5
10, 40, 104, 6
10, 41, 1772, 10
10, 42, 261, -7
10, 43, 429, -1
10, 44, 1094, 23
10, 45, 340, 31
10, 46, 2042, -8
10, 47, 403, 26
10, 48, 1308, -3
10, 49, 942, -4
10, 50, 2033, 10
10, 51, 890, 36
10, 52, 912, 0
10, 53, 354, 14
10, 54, 1778, 2
10, 55, 934, -3
10, 56, 627, 178
10, 57, 1940, 3
10, 58, 2093, 5
10, 59, 2001, 13
10, 60, 2167, 7
10, 61, 2102, 5
10, 62, 2141, 28
10, 63, 879, 4
10, 64, 620, 4
10, 65, 503, 2
10, 66, 547, 8
10, 67, 1046, 11
10, 68, 1181, -2
10, 69, 851, 6
10, 70, 440, 9
10, 71, 422, 15
10, 72, 103, 211
10, 73, 1375, -2
11, 12, 816, -1
11, 13, 615, -2
11, 14, 660, -22
11, 15, 1182, -5
11, 16, 590, -21
11, 17, 1043, -11
11, 18, 903, -6
11, 19, 602, -8
11, 20, 557, -3
11, 21, 1199, -8
11, 22, 1359, -2
11, 23, 782, -4
11, 24, 911, -2
11, 25, 1324, -3
11, 26, 714, -6
11, 27, 994, -2
11, 28, 814, -6
11, 29, 217, -18
11, 30, 863, -1
11, 31, 924, -4
11, 32, 1367, -1
11, 33, 451, -19
11, 34, 728, -12
11, 35, 1267, 10
11, 36, 1655, -14
11, 37, 553, -17
11, 38, 1238, 8
11, 39, 297, 4
11, 40, 944, -10
11, 41, 910, 21
11, 42, 764, -6
11, 43, 928, -7
11, 44, 1094, 3
11, 45, 854, -5
11, 46, 1622, -1
11, 47, 1374, 3
11, 48, 352, 3
11, 49, 195, -82
11, 50, 1212, 0
11, 51, 960, -7
11, 52, 446, -1
11, 53, 1299, -7
11, 54, 876, 8
11, 55, 901, -2
11, 56, 869, -15
11, 57, 1111, 9
11, 58, 1429, 6
11, 59, 1157, 1
11, 60, 1483, -4
11, 61, 1421, 1
11, 62, 1439, -8
11, 63, 341, -36
11, 64, 428, -32
11, 65, 538, -31
11, 66, 1547, -4
11, 67, 29, 25
11, 68, 178, 17
11, 69, 236, -61
11, 70, 1205, -4
11, 71, 1054, -2
11, 72, 987, -9
11, 73, 378, -6
12, 13, 497, 13
12, 14, 832, 11
12, 15, 707, 7
12, 16, 366, 26
12, 17, 742, 8
12, 18, 978, -2
12, 19, 839, 17
12, 20, 1205, 5
12, 21, 541, -37
12, 22, 794, 11
12, 23, 433, 1
12, 24, 394, 19
12, 25, 1651, 6
12, 26, 694, -1
12, 27, 704, 14
12, 28, 369, 13
12, 29, 971, 16
12, 30, 242, 52
12, 31, 1119, 5
12, 32, 804, -1
12, 33, 380, 13
12, 34, 390, 11
12, 35, 1648, 2
12, 36, 1592, -1
12, 37, 405, 9
12, 38, 1657, 26
12, 39, 935, 0
12, 40, 311, 9
12, 41, 1414, 9
12, 42, 283, -27
12, 43, 709, 9
12, 44, 1306, 18
12, 45, 73, 45
12, 46, 1629, -4
12, 47, 809, 12
12, 48, 1155, -5
12, 49, 671, 16
12, 50, 1656, 11
12, 51, 1099, 8
12, 52, 901, -2
12, 53, 767, 14
12, 54, 1434, 1
12, 55, 1110, 3
12, 56, 227, -79
12, 57, 1568, -2
12, 58, 1689, 2
12, 59, 1631, 15
12, 60, 1764, 6
12, 61, 1700, -1
12, 62, 1740, 11
12, 63, 563, 2
12, 64, 544, 0
12, 65, 310, 31
12, 66, 931, 0
12, 67, 830, 10
12, 68, 993, -4
12, 69, 592, 12
12, 70, 830, -5
12, 71, 763, 1
12, 72, 315, -23
12, 73, 1194, -4
13, 14, 1015, 9
13, 15, 567, 12
13, 16, 617, 10
13, 17, 441, -13
13, 18, 499, 10
13, 19, 988, 4
13, 20, 1154, -4
13, 21, 625, 0
13, 22, 748, -18
13, 23, 181, -28
13, 24, 333, -16
13, 25, 1818, 7
13, 26, 210, 22
13, 27, 390, -17
13, 28, 242, -15
13, 29, 662, 38
13, 30, 704, -3
13, 31, 626, 13
13, 32, 756, 1
13, 33, 458, 9
13, 34, 152, -1
13, 35, 1785, 3
13, 36, 1945, 3
13, 37, 623, 4
13, 38, 1772, 26
13, 39, 870, 1
13, 40, 412, -20
13, 41, 1468, 10
13, 42, 252, -6
13, 43, 339, 7
13, 44, 817, 19
13, 45, 476, -16
13, 46, 1954, -6
13, 47, 763, 3
13, 48, 862, -4
13, 49, 596, 10
13, 50, 1756, 13
13, 51, 614, 36
13, 52, 461, 6
13, 53, 685, 6
13, 54, 1454, 5
13, 55, 616, 11
13, 56, 695, -4
13, 57, 1657, -1
13, 58, 1894, 3
13, 59, 1711, 14
13, 60, 1960, 1
13, 61, 1895, 3
13, 62, 1925, 17
13, 63, 598, 3
13, 64, 187, 36
13, 65, 264, 12
13, 66, 940, 4
13, 67, 642, 13
13, 68, 752, -2
13, 69, 511, 12
13, 70, 596, -3
13, 71, 455, -11
13, 72, 462, -16
13, 73, 936, -14
14, 15, 1484, -5
14, 16, 469, -9
14, 17, 1436, -8
14, 18, 1459, 1
14, 19, 67, -45
14, 20, 557, 0
14, 21, 1369, -24
14, 22, 1608, -11
14, 23, 1101, -7
14, 24, 1157, -6
14, 25, 826, 6
14, 26, 1199, -7
14, 27, 1387, -8
14, 28, 1083, -15
14, 29, 869, 15
14, 30, 684, -13
14, 31, 1525, 3
14, 32, 1618, -4
14, 33, 564, -3
14, 34, 1036, -15
14, 35, 817, 16
14, 36, 997, -1
14, 37, 437, -24
14, 38, 825, 77
14, 39, 457, 2
14, 40, 1117, -15
14, 41, 611, 22
14, 42, 993, -7
14, 43, 1350, -9
14, 44, 1710, 1
14, 45, 904, -4
14, 46, 974, -14
14, 47, 1624, -3
14, 48, 929, 7
14, 49, 501, 13
14, 50, 826, 27
14, 51, 1544, 12
14, 52, 1079, 1
14, 53, 1570, -3
14, 54, 655, 8
14, 55, 1505, 4
14, 56, 701, -20
14, 57, 742, 12
14, 58, 885, 18
14, 59, 806, 43
14, 60, 955, 12
14, 61, 890, 6
14, 62, 924, 15
14, 63, 425, 20
14, 64, 878, 4
14, 65, 775, -26
14, 66, 1759, -2
14, 67, 641, 4
14, 68, 764, 8
14, 69, 547, 7
14, 70, 1570, -5
14, 71, 1453, 0
14, 72, 1136, -24
14, 73, 887, -5
15, 16, 1023, 2
15, 17, 223, 9
15, 18, 649, -3
15, 19, 1474, 5
15, 20, 1711, -1
15, 21, 281, 16
15, 22, 196, -11
15, 23, 407, -3
15, 24, 328, -16
15, 25, 2311, 1
15, 26, 544, -7
15, 27, 247, -1
15, 28, 404, -4
15, 29, 1217, 18
15, 30, 943, -8
15, 31, 817, 15
15, 32, 201, 23
15, 33, 930, 9
15, 34, 470, 6
15, 35, 2292, 2
15, 36, 2299, -5
15, 37, 1049, 9
15, 38, 2288, 16
15, 39, 1425, 1
15, 40, 396, -1
15, 41, 2004, 2
15, 42, 491, 2
15, 43, 328, -8
15, 44, 941, 12
15, 45, 637, -9
15, 46, 2336, 1
15, 47, 208, 35
15, 48, 1414, 0
15, 49, 1143, 2
15, 50, 2278, 8
15, 51, 758, 14
15, 52, 955, -3
15, 53, 125, 13
15, 54, 1999, 3
15, 55, 826, 8
15, 56, 926, -9
15, 57, 2183, 3
15, 58, 2366, 6
15, 59, 2241, 14
15, 60, 2438, 5
15, 61, 2373, 4
15, 62, 2409, 5
15, 63, 1109, 8
15, 64, 754, 7
15, 65, 723, 0
15, 66, 391, 5
15, 67, 1209, -8
15, 68, 1317, 2
15, 69, 1053, -1
15, 70, 157, 3
15, 71, 233, -13
15, 72, 403, -9
15, 73, 1495, -3
16, 17, 999, 0
16, 18, 1107, 4
16, 19, 473, 2
16, 20, 862, -2
16, 21, 899, -5
16, 22, 1140, -9
16, 23, 660, -11
16, 24, 695, -13
16, 25, 1295, 11
16, 26, 823, 2
16, 27, 952, -2
16, 28, 629, 3
16, 29, 791, 27
16, 30, 290, -2
16, 31, 1211, 2
16, 32, 1150, -3
16, 33, 184, 27
16, 34, 597, -13
16, 35, 1287, 1
16, 36, 1329, 5
16, 37, 44, 23
16, 38, 1293, 52
16, 39, 614, 5
16, 40, 648, -12
16, 41, 1049, 3
16, 42, 535, -5
16, 43, 929, -2
16, 44, 1403, 15
16, 45, 436, -13
16, 46, 1344, -6
16, 47, 1155, 6
16, 48, 941, -6
16, 49, 402, 4
16, 50, 1290, 22
16, 51, 1213, 14
16, 52, 853, 2
16, 53, 1103, -2
16, 54, 1071, 8
16, 55, 1195, 5
16, 56, 300, -6
16, 57, 1202, 9
16, 58, 1344, 6
16, 59, 1264, 5
16, 60, 1416, 9
16, 61, 1352, 0
16, 62, 1389, 27
16, 63, 259, 23
16, 64, 541, 16
16, 65, 353, 8
16, 66, 1289, -4
16, 67, 592, 3
16, 68, 763, 9
16, 69, 357, 18
16, 70, 1121, 1
16, 71, 1018, -8
16, 72, 666, -5
16, 73, 952, -3
17, 18, 426, 10
17, 19, 1416, 9
17, 20, 1592, 5
17, 21, 465, 2
17, 22, 413, -10
17, 23, 338, 4
17, 24, 353, 6
17, 25, 2251, 5
17, 26, 352, 6
17, 27, 50, -21
17, 28, 379, -24
17, 29, 1047, 12
17, 30, 984, 2
17, 31, 594, 9
17, 32, 417, 15
17, 33, 871, 9
17, 34, 402, -11
17, 35, 2222, 2
17, 36, 2316, -8
17, 37, 1016, 4
17, 38, 2211, 11
17, 39, 1309, 4
17, 40, 463, -4
17, 41, 1909, 6
17, 42, 473, 3
17, 43, 122, 21
17, 44, 727, 21
17, 45, 682, 10
17, 46, 2340, 0
17, 47, 424, 12
17, 48, 1238, 1
17, 49, 1037, 15
17, 50, 2196, 8
17, 51, 538, 34
17, 52, 761, 1
17, 53, 341, 18
17, 54, 1895, 4
17, 55, 602, 6
17, 56, 969, -4
17, 57, 2098, 5
17, 58, 2321, 3
17, 59, 2152, 2
17, 60, 2389, 5
17, 61, 2324, 0
17, 62, 2355, 3
17, 63, 1032, 8
17, 64, 621, 0
17, 65, 660, 4
17, 66, 603, 11
17, 67, 1072, 10
17, 68, 1160, 7
17, 69, 952, 3
17, 70, 164, 13
17, 71, 21, 13
17, 72, 493, -18
17, 73, 1326, 1
18, 19, 1420, -2
18, 20, 1454, 4
18, 21, 874, -11
18, 22, 834, -3
18, 23, 556, -11
18, 24, 670, -7
18, 25, 2216, 0
18, 26, 289, -33
18, 27, 412, -13
18, 28, 633, -4
18, 29, 820, 6
18, 30, 1199, -1
18, 31, 169, 10
18, 32, 837, 0
18, 33, 935, 2
18, 34, 589, 0
18, 35, 2166, -4
18, 36, 2425, -13
18, 37, 1107, -1
18, 38, 2140, 0
18, 39, 1200, 2
18, 40, 788, -5
18, 41, 1814, 2
18, 42, 700, -12
18, 43, 343, -9
18, 44, 333, 22
18, 45, 942, -2
18, 46, 2423, -3
18, 47, 843, 4
18, 48, 979, -3
18, 49, 979, -4
18, 50, 2116, 3
18, 51, 125, 1
18, 52, 491, 4
18, 53, 763, 6
18, 54, 1778, 1
18, 55, 176, 8
18, 56, 1189, -2
18, 57, 2015, -1
18, 58, 2310, 0
18, 59, 2060, 3
18, 60, 2370, 2
18, 61, 2306, 2
18, 62, 2329, 6
18, 63, 1034, 5
18, 64, 583, 1
18, 65, 760, -1
18, 66, 1017, 1
18, 67, 933, 3
18, 68, 959, -4
18, 69, 915, 3
18, 70, 550, -11
18, 71, 416, -13
18, 72, 831, -8
18, 73, 1080, -3
19, 20, 497, -14
19, 21, 1371, -7
19, 22, 1605, -5
