c1, c2, dist, nm
0, 1, 2236, -5
0, 2, 1967, -6
0, 3, 955, -8
0, 4, 2426, 3
0, 5, 865, -6
0, 6, 1454, -1
0, 7, 392, -12
0, 8, 1454, 0
0, 9, 1821, -1
0, 10, 2141, -7
0, 11, 1452, -1
0, 12, 1739, -2
0, 13, 1931, -6
0, 14, 927, -3
0, 15, 2411, -2
0, 16, 1390, -6
0, 17, 2360, 1
0, 18, 2340, -3
0, 19, 944, -9
0, 20, 975, -4
0, 21, 2280, -5
0, 22, 2529, -5
0, 23, 2028, 2
0, 24, 2083, 2
0, 25, 137, -17
0, 26, 2102, 2
0, 27, 2311, -4
0, 28, 2011, -3
0, 29, 1607, 2
0, 30, 1550, 0
0, 31, 2376, -2
0, 32, 2539, 1
0, 33, 1490, -13
0, 34, 1962, 0
0, 35, 236, -22
0, 36, 680, -9
0, 37, 1362, -2
0, 38, 307, 21
0, 39, 1158, -5
0, 40, 2037, -4
0, 41, 605, -4
0, 42, 1920, -2
0, 43, 2270, -1
0, 44, 2546, 1
0, 45, 1812, -3
0, 46, 546, -30
0, 47, 2544, 1
0, 48, 1561, 2
0, 49, 1361, -2
0, 50, 357, -5
0, 51, 2408, -3
0, 52, 1898, -2
0, 53, 2493, -2
0, 54, 687, -3
0, 55, 2353, -1
0, 56, 1568, -2
0, 57, 426, -1
0, 58, 64, -13
0, 59, 430, 0
0, 60, 31, 3
0, 61, 39, -25
0, 62, 30, -21
0, 63, 1332, -3
0, 64, 1778, -7
0, 65, 1701, -7
0, 66, 2670, 0
0, 67, 1424, -1
0, 68, 1465, -7
0, 69, 1433, -6
0, 70, 2498, 0
0, 71, 2377, 0
0, 72, 2051, -5
0, 73, 1473, -8
1, 2, 269, 31
1, 3, 1285, 5
1, 4, 195, 1
1, 5, 1498, 9
1, 6, 1292, 8
1, 7, 1909, 11
1, 8, 1043, 1
1, 9, 418, 70
1, 10, 109, 219
1, 11, 1070, 5
1, 12, 518, 59
1, 13, 473, 13
1, 14, 1312, 13
1, 15, 191, -10
1, 16, 846, 5
1, 17, 312, 10
1, 18, 707, 8
1, 19, 1306, 14
1, 20, 1577, 8
1, 21, 171, -1084
1, 22, 301, 40
1, 23, 292, 50
1, 24, 163, 78
1, 25, 2139, 7
1, 26, 522, 0
1, 27, 303, 49
1, 28, 257, 46
1, 29, 1135, 23
1, 30, 752, 29
1, 31, 876, 7
1, 32, 311, 17
1, 33, 769, -1
1, 34, 342, 15
1, 35, 2125, 4
1, 36, 2108, -91
1, 37, 874, 4
1, 38, 2125, 36
1, 39, 1290, -4
1, 40, 206, 15
1, 41, 1850, 20
1, 42, 329, 7
1, 43, 363, 21
1, 44, 1027, 23
1, 45, 446, 27
1, 46, 2147, 1
1, 47, 317, 25
1, 48, 1335, -1
1, 49, 1005, 6
1, 50, 2117, 8
1, 51, 828, 14
1, 52, 911, -3
1, 53, 257, 11
1, 54, 1852, 10
1, 55, 880, 8
1, 56, 735, 125
1, 57, 2024, 6
1, 58, 2190, 10
1, 59, 2083, 17
1, 60, 2262, 7
1, 61, 2198, 3
1, 62, 2235, 23
1, 63, 955, 0
1, 64, 651, 13
1, 65, 571, 15
1, 66, 479, 11
1, 67, 1094, 2
1, 68, 1219, -1
1, 69, 914, 11
1, 70, 332, 1
1, 71, 331, 6
1, 72, 212, 204
1, 73, 1407, 7
2, 3, 1018, -3
2, 4, 462, 4
2, 5, 1243, 6
2, 6, 1104, 9
2, 7, 1643, 6
2, 8, 835, 8
2, 9, 151, 116
2, 10, 178, -40
2, 11, 864, 8
2, 12, 261, -52
2, 13, 353, 13
2, 14, 1044, 6
2, 15, 452, 5
2, 16, 576, 6
2, 17, 484, 8
2, 18, 768, 2
2, 19, 1040, 18
2, 20, 1337, 9
2, 21, 345, -22
2, 22, 564, -3
2, 23, 214, 27
2, 24, 133, 4
2, 25, 1871, 3
2, 26, 506, 7
2, 27, 449, 5
2, 28, 135, 15
2, 29, 969, 7
2, 30, 503, 33
2, 31, 924, 6
2, 32, 574, 1
2, 33, 512, 9
2, 34, 204, 26
2, 35, 1859, -4
2, 36, 1851, -1
2, 37, 606, 9
2, 38, 1860, 20
2, 39, 1053, 4
2, 40, 81, 19
2, 41, 1593, 15
2, 42, 107, 14
2, 43, 465, 23
2, 44, 1101, 16
2, 45, 198, 25
2, 46, 1885, 0
2, 47, 580, 12
2, 48, 1167, 4
2, 49, 770, -5
2, 50, 1854, 8
2, 51, 893, 6
2, 52, 811, 1
2, 53, 526, 19
2, 54, 1600, 6
2, 55, 919, 1
2, 56, 487, -21
2, 57, 1762, 19
2, 58, 1920, 5
2, 59, 1822, 9
2, 60, 1993, 3
2, 61, 1928, 3
2, 62, 1966, 6
2, 63, 702, 6
2, 64, 485, 17
2, 65, 332, 8
2, 66, 726, 0
2, 67, 885, -3
2, 68, 1029, 3
2, 69, 680, -1
2, 70, 569, -1
2, 71, 505, 6
2, 72, 122, -35
2, 73, 1226, 4
3, 4, 1473, 5
3, 5, 341, 17
3, 6, 777, 7
3, 7, 627, 11
3, 8, 620, 3
3, 9, 877, 1
3, 10, 1194, -12
3, 11, 634, 2
3, 12, 808, -12
3, 13, 985, 3
3, 14, 29, -14
3, 15, 1457, 2
3, 16, 444, -11
3, 17, 1407, -2
3, 18, 1429, 1
3, 19, 57, -17
3, 20, 554, 12
3, 21, 1344, -6
3, 22, 1582, -4
3, 23, 1073, -11
3, 24, 1130, -5
3, 25, 853, 8
3, 26, 1170, -7
3, 27, 1358, 1
3, 28, 1055, -2
3, 29, 844, 14
3, 30, 666, 1
3, 31, 1496, -2
3, 32, 1592, -3
3, 33, 535, -14
3, 34, 1007, -2
3, 35, 842, 9
3, 36, 1025, 1
3, 37, 411, -12
3, 38, 849, 64
3, 39, 439, 4
3, 40, 1091, -9
3, 41, 626, 38
3, 42, 965, -5
3, 43, 1321, -7
3, 44, 1681, 5
3, 45, 880, -13
3, 46, 1003, -12
3, 47, 1597, 1
3, 48, 908, -9
3, 49, 473, 7
3, 50, 848, 18
3, 51, 1515, 2
3, 52, 1051, -3
3, 53, 1543, -2
3, 54, 667, 11
3, 55, 1475, 0
3, 56, 683, -7
3, 57, 763, 18
3, 58, 913, 9
3, 59, 826, 18
3, 60, 983, 2
3, 61, 918, 5
3, 62, 952, 9
3, 63, 395, 1
3, 64, 849, 3
3, 65, 747, -3
3, 66, 1734, 0
3, 67, 616, 16
3, 68, 742, -5
3, 69, 518, 8
3, 70, 1542, 1
3, 71, 1424, -2
3, 72, 1110, -7
3, 73, 869, 3
4, 5, 1672, 4
4, 6, 1418, -3
4, 7, 2093, -1
4, 8, 1186, 4
4, 9, 613, 17
4, 10, 302, 1
4, 11, 1210, 5
4, 12, 713, 2
4, 13, 595, -6
4, 14, 1500, -3
4, 15, 35, -6
4, 16, 1037, -3
4, 17, 258, -9
4, 18, 683, -3
4, 19, 1491, 2
4, 20, 1736, -1
4, 21, 262, -3
4, 22, 161, 5
4, 23, 432, 4
4, 24, 343, -5
4, 25, 2327, 2
4, 26, 578, 3
4, 27, 282, -29
4, 28, 423, 3
4, 29, 1248, 2
4, 30, 947, 2
4, 31, 851, 10
4, 32, 167, 17
4, 33, 949, 1
4, 34, 493, -13
4, 35, 2310, 1
4, 36, 2304, -2
4, 37, 1064, -1
4, 38, 2307, 7
4, 39, 1450, -2
4, 40, 402, -1
4, 41, 2025, 2
4, 42, 509, -2
4, 43, 363, -8
4, 44, 974, 9
4, 45, 642, 5
4, 46, 2343, 2
4, 47, 174, 26
4, 48, 1446, 6
4, 49, 1167, -1
4, 50, 2298, -2
4, 51, 792, 18
4, 52, 988, 0
4, 53, 92, 4
4, 54, 2022, 5
4, 55, 860, 12
4, 56, 930, -5
4, 57, 2203, 5
4, 58, 2381, 3
4, 59, 2261, 1
4, 60, 2453, 2
4, 61, 2388, 0
4, 62, 2424, 0
4, 63, 1130, 1
4, 64, 783, 1
4, 65, 744, -1
4, 66, 357, 13
4, 67, 1236, 0
4, 68, 1347, -7
4, 69, 1077, 1
4, 70, 178, 14
4, 71, 267, -12
4, 72, 405, 0
4, 73, 1526, 4
5, 6, 612, 7
5, 7, 475, 38
5, 8, 591, -7
5, 9, 1119, 8
5, 10, 1421, -12
5, 11, 588, -1
5, 12, 1075, -8
5, 13, 1117, -8
5, 14, 339, -17
5, 15, 1651, 0
5, 16, 714, -12
5, 17, 1558, -8
5, 18, 1484, -1
5, 19, 286, -41
5, 20, 228, 6
5, 21, 1585, -8
5, 22, 1800, 0
5, 23, 1246, -4
5, 24, 1336, -5
5, 25, 735, 24
5, 26, 1266, -2
5, 27, 1508, 4
5, 28, 1248, -4
5, 29, 747, 12
5, 30, 977, -8
5, 31, 1512, 3
5, 32, 1809, 0
5, 33, 731, -6
5, 34, 1181, 0
