20, 23, 19, 28, 37, 59, 103, 77, 81, 98
36, 28, 29, 35, 44, 82, 101, 58, 72, 41
13, 12, 8, 4, 14, 16, 25, 20, 21, 5
11, 8, 8, 9, 26, 37, 39, 31, 35, 21
26, 23, 12, 9, 22, 45, 41, 27, 25, 11
18, 18, 18, 15, 23, 30, 50, 34, 33, 24
50, 28, 31, 29, 61, 90, 124, 74, 75, 42
48, 29, 30, 28, 89, 123, 145, 84, 85, 49
15, 8, 10, 3, 20, 30, 48, 37, 65, 53
158, 94, 109, 105, 148, 247, 321, 232, 283, 236
70, 27, 33, 32, 61, 77, 94, 49, 46, 45
54, 46, 41, 63, 109, 118, 156, 98, 93, 80
13, 6, 8, 8, 22, 21, 48, 26, 32, 22
17, 22, 16, 16, 36, 33, 42, 27, 27, 20
23, 14, 16, 9, 32, 41, 39, 34, 28, 30
37, 18, 6, 12, 13, 21, 47, 24, 33, 52
19, 16, 15, 8, 21, 32, 33, 25, 20, 15
4, 9, 4, 5, 8, 19, 22, 14, 17, 9
36, 10, 19, 17, 32, 50, 73, 29, 31, 33
14, 10, 7, 12, 25, 33, 50, 27, 30, 29
30, 18, 16, 15, 36, 37, 42, 33, 22, 6
27, 22, 22, 26, 34, 42, 67, 52, 61, 27
22, 20, 20, 12, 27, 33, 37, 27, 42, 37
14, 10, 4, 9, 15, 17, 19, 10, 14, 11
40, 29, 18, 19, 41, 65, 95, 56, 63, 42
30, 19, 11, 19, 27, 33, 70, 30, 32, 18
41, 18, 17, 17, 24, 41, 63, 31, 61, 55
18, 10, 19, 10, 22, 23, 34, 23, 17, 20
29, 21, 12, 18, 39, 41, 55, 46, 43, 23
100, 70, 78, 97, 140, 191, 248, 157, 184, 169
33, 18, 20, 24, 29, 60, 79, 56, 88, 74
34, 25, 23, 26, 50, 84, 91, 49, 48, 41
21, 14, 15, 13, 17, 29, 27, 33, 34, 40
29, 11, 18, 15, 27, 39, 45, 41, 29, 17
28, 17, 20, 18, 27, 42, 59, 37, 30, 27
23, 19, 15, 17, 28, 32, 39, 33, 27, 22
46, 33, 16, 26, 48, 97, 140, 108, 159, 129
4, 5, 12, 9, 3, 12, 26, 22, 11, 11
227, 176, 171, 162, 333, 375, 564, 369, 460, 393
8, 4, 6, 2, 9, 18, 24, 11, 17, 6
22, 6, 18, 10, 19, 27, 19, 28, 18, 11
91, 59, 64, 68, 151, 234, 275, 176, 182, 111
31, 23, 20, 14, 46, 59, 63, 39, 43, 22
17, 18, 14, 13, 43, 46, 67, 41, 56, 51
84, 67, 52, 44, 112, 101, 139, 87, 81, 61
37, 18, 27, 26, 43, 46, 86, 38, 41, 17
25, 13, 21, 10, 32, 42, 52, 44, 36, 30
65, 47, 33, 29, 61, 57, 113, 62, 96, 173
10, 4, 2, 7, 17, 21, 24, 19, 13, 6
25, 22, 20, 18, 30, 32, 54, 35, 28, 21
46, 24, 37, 35, 75, 105, 169, 131, 173, 200
59, 47, 44, 50, 91, 124, 156, 102, 83, 72
22, 9, 12, 9, 20, 16, 20, 10, 13, 17
85, 49, 32, 47, 55, 66, 103, 63, 46, 34
38, 19, 23, 22, 43, 49, 69, 43, 49, 29
21, 27, 24, 34, 52, 57, 86, 44, 35, 21
13, 16, 14, 10, 23, 21, 37, 21, 26, 24
35, 34, 33, 36, 69, 90, 130, 88, 113, 55
23, 34, 26, 25, 54, 72, 86, 77, 77, 43
52, 49, 41, 50, 103, 130, 179, 160, 173, 139
22, 23, 10, 13, 18, 25, 48, 37, 61, 88
13, 12, 12, 14, 23, 34, 40, 19, 33, 15
