23, 30, 20, 15, 47, 54, 103, 60, 87, 106
43, 35, 33, 34, 61, 61, 97, 62, 68, 32
13, 4, 7, 13, 20, 17, 29, 19, 12, 4
17, 8, 10, 13, 20, 32, 32, 32, 40, 21
40, 14, 16, 11, 26, 29, 44, 25, 22, 14
24, 12, 16, 19, 35, 34, 52, 29, 22, 20
66, 40, 24, 32, 75, 88, 96, 74, 71, 38
46, 26, 36, 29, 87, 96, 160, 92, 76, 62
8, 4, 7, 6, 18, 34, 43, 38, 64, 67
161, 100, 115, 96, 171, 247, 347, 241, 233, 222
54, 41, 29, 35, 65, 73, 91, 66, 55, 25
77, 47, 39, 49, 123, 119, 142, 90, 83, 89
12, 12, 6, 7, 26, 25, 29, 28, 42, 19
21, 17, 23, 12, 28, 34, 56, 26, 18, 21
24, 16, 15, 12, 26, 46, 44, 30, 25, 28
31, 15, 14, 13, 16, 27, 37, 29, 42, 39
14, 9, 6, 10, 25, 35, 39, 24, 24, 18
9, 2, 5, 9, 14, 17, 21, 10, 18, 6
33, 25, 29, 18, 30, 55, 55, 33, 26, 26
19, 7, 10, 14, 23, 28, 34, 35, 43, 24
22, 14, 17, 24, 41, 41, 48, 24, 18, 6
26, 23, 15, 21, 39, 60, 68, 44, 47, 37
27, 25, 17, 18, 27, 26, 40, 27, 29, 41
12, 13, 7, 11, 15, 16, 22, 8, 14, 5
42, 21, 24, 18, 44, 59, 87, 66, 62, 45
21, 15, 20, 17, 38, 43, 50, 45, 30, 10
33, 19, 18, 13, 33, 47, 71, 43, 41, 50
17, 14, 9, 6, 32, 33, 36, 17, 20, 12
43, 15, 17, 28, 38, 43, 50, 34, 36, 23
112, 68, 60, 78, 151, 194, 259, 163, 185, 164
38, 27, 9, 21, 48, 62, 69, 72, 71, 64
37, 23, 27, 27, 54, 79, 92, 48, 45, 39
22, 15, 8, 17, 18, 27, 43, 24, 36, 33
27, 21, 10, 14, 27, 41, 45, 35, 33, 18
31, 13, 18, 10, 29, 52, 57, 39, 33, 23
19, 17, 21, 19, 25, 38, 35, 29, 24, 28
60, 13, 25, 35, 58, 88, 135, 103, 159, 126
10, 11, 6, 9, 13, 17, 12, 19, 9, 9
208, 185, 169, 195, 320, 411, 541, 371, 411, 419
11, 8, 8, 6, 10, 15, 13, 13, 9, 12
18, 12, 10, 16, 22, 27, 33, 12, 17, 11
87, 60, 76, 48, 147, 188, 274, 190, 199, 142
31, 29, 21, 37, 46, 57, 63, 31, 28, 17
21, 14, 17, 15, 43, 66, 70, 31, 47, 42
82, 62, 54, 52, 97, 121, 141, 81, 81, 57
42, 30, 18, 27, 39, 52, 76, 35, 44, 16
28, 14, 15, 22, 32, 39, 46, 37, 41, 31
