24, 31, 23, 27, 46, 55, 80, 74, 89, 96
49, 26, 33, 42, 53, 69, 90, 69, 57, 38
17, 4, 8, 8, 16, 21, 28, 20, 10, 6
9, 13, 9, 9, 22, 34, 40, 24, 46, 19
42, 21, 11, 14, 23, 32, 41, 22, 19, 16
23, 15, 16, 16, 20, 40, 41, 28, 35, 29
55, 43, 33, 24, 60, 84, 110, 80, 76, 39
46, 32, 47, 31, 82, 109, 137, 87, 76, 63
9, 3, 6, 10, 30, 35, 47, 30, 56, 63
167, 97, 110, 119, 191, 249, 309, 229, 245, 217
48, 36, 37, 41, 61, 71, 91, 48, 54, 47
57, 37, 60, 48, 90, 126, 167, 87, 104, 82
13, 9, 5, 10, 20, 17, 46, 23, 31, 32
17, 18, 20, 17, 28, 42, 39, 34, 25, 16
23, 15, 15, 12, 26, 34, 52, 28, 31, 30
35, 8, 11, 10, 15, 22, 44, 24, 34, 60
9, 7, 10, 12, 28, 27, 33, 28, 28, 22
7, 8, 5, 11, 13, 14, 14, 13, 13, 13
27, 26, 15, 21, 30, 43, 67, 42, 35, 24
11, 9, 16, 9, 26, 31, 46, 33, 32, 24
22, 18, 17, 15, 30, 33, 48, 29, 32, 11
33, 19, 25, 18, 47, 50, 81, 37, 49, 21
29, 14, 21, 23, 23, 37, 48, 28, 23, 31
12, 4, 3, 13, 17, 17, 23, 7, 16, 11
38, 29, 22, 24, 55, 66, 80, 64, 54, 36
21, 23, 22, 15, 33, 43, 58, 32, 27, 15
41, 17, 22, 15, 32, 39, 55, 42, 53, 52
15, 14, 12, 9, 19, 24, 44, 22, 29, 8
29, 25, 13, 20, 38, 48, 60, 38, 35, 21
85, 69, 69, 76, 150, 191, 227, 178, 202, 187
26, 22, 14, 25, 45, 62, 64, 79, 83, 61
43, 22, 28, 31, 64, 41, 92, 48, 54, 48
17, 9, 18, 14, 22, 25, 40, 29, 33, 36
26, 19, 12, 18, 31, 42, 60, 22, 30, 11
26, 22, 20, 21, 36, 35, 55, 37, 33, 20
18, 8, 15, 12, 36, 41, 52, 30, 31, 12
47, 32, 23, 29, 64, 88, 114, 106, 144, 155
6, 15, 5, 4, 16, 13, 24, 12, 15, 5
220, 186, 180, 148, 317, 400, 548, 386, 439, 406
5, 7, 5, 7, 12, 16, 18, 11, 20, 4
23, 7, 7, 10, 18, 23, 37, 24, 13, 16
96, 52, 57, 85, 156, 215, 259, 192, 177, 122
42, 17, 18, 23, 54, 60, 57, 43, 34, 12
24, 13, 18, 19, 46, 59, 60, 37, 50, 40
91, 65, 50, 51, 75, 121, 135, 82, 94, 64
31, 32, 19, 33, 56, 50, 55, 45, 36, 22
28, 17, 10, 21, 34, 38, 57, 35, 32, 33
68, 44, 46, 27, 60, 57, 117, 61, 95, 161
9, 8, 5, 5, 17, 23, 21, 10, 17, 8
29, 17, 22, 15, 37, 49, 44, 19, 27, 26
44, 46, 39, 29, 77, 108, 162, 115, 190, 185
66, 46, 45, 62, 112, 131, 134, 94, 77, 61
31, 12, 11, 14, 12, 19, 14, 14, 11, 10
76, 45, 39, 43, 50, 74, 106, 64, 56, 27
40, 22, 31, 21, 38, 53, 65, 47, 43, 24
27, 32, 26, 23, 47, 43, 77, 46, 53, 27
15, 10, 10, 10, 20, 32, 43, 23, 20, 22
41, 33, 34, 34, 64, 89, 135, 91, 96, 66
26, 31, 18, 31, 55, 80, 91, 71, 61, 53
59, 47, 49, 40, 89, 108, 201, 156, 172, 155
