,Alameda,Allegheny,Allen,Arapoe,Baltimore City,Bernalillo,Bexar,Clark,Collin,Cook,Cuyahoga,Dallas,Dane,Davidson,Denver,District of Columbia,Douglas,Durham,Duvall,El Paso CO,El Paso TX,Erie,Essex,Fayette,Franklin,Fresno,Fulton,Guilford,Hamilton,Harris,Hennepin,Hillsborough,Hudson,Jackson,Jefferson,Kern,King,Lancaster,Los Angeles,Lubbock,Lucas,Maricopa,Marion,Mecklenburg,Miami-Dade,Milwaukee,Multnomah,New York,Nueces,Oklahoma,Orange_CA,Orange_FL,Orleans Parish,Philadelphia,Pima,Pinellas,Ramsey,Riverside,Sacramento,San Diego,San Francisco,San Joaquin,Santa Clara,Sedgwick,Shelby,St. Louis City,Suffolk,Tarrant,Travis,Tulsa,Virginia Beach City,Wake,Wayne,Webb
37,979,841,587,735,649,469,255,202,251,1309,851,362,780,1027,740,964,676,621,903,312,118,711,660,769,824,432,965,1294,1337,984,1076,550,963,815,1275,178,743,591,1625,141,1180,391,1193,625,1082,664,529,957,66,812,1453,1358,731,1023,118,1065,486,324,368,803,374,302,581,361,274,278,266,215,88,310,41,167,728,1
38,1051,817,656,837,745,509,258,200,251,1277,902,351,797,1005,864,1062,635,646,917,339,106,709,625,625,1004,372,1043,1236,1455,999,1004,414,993,826,1223,157,734,604,1542,127,1046,435,1148,636,1036,702,582,982,56,773,1316,1175,873,997,158,1065,482,312,394,778,414,250,654,349,233,324,242,189,104,306,47,141,675,4
39,942,743,736,756,681,474,234,269,220,1361,846,344,790,1100,813,1120,751,496,649,508,114,744,647,628,870,380,865,1200,1394,969,928,502,1031,936,1159,136,697,778,1664,102,1070,443,1104,692,1070,725,590,1023,64,842,1552,1208,964,931,160,1037,541,267,382,774,385,274,607,333,244,342,209,156,98,319,40,151,653,6
40,1008,788,684,787,714,493,262,225,244,1261,940,289,823,1070,729,938,843,584,569,504,112,733,545,715,894,450,994,1307,1230,1115,1034,468,1042,1063,1085,149,700,740,1669,131,1091,460,955,682,1221,756,564,954,69,589,1210,1330,890,1071,144,1062,603,367,295,770,358,200,674,309,197,347,243,191,95,295,38,148,670,3
41,1018,660,718,760,740,521,249,191,248,1270,918,408,828,1018,799,949,918,550,599,461,98,789,517,734,857,463,907,1292,1179,924,1044,457,1138,1108,1186,203,747,782,1628,120,1095,386,797,669,1176,701,567,1024,76,559,1269,1318,962,1126,110,1072,632,351,285,747,374,161,674,292,267,321,215,198,108,318,45,111,705,4
42,1077,727,662,888,744,600,237,217,216,1280,842,368,833,1075,731,965,888,528,646,486,92,794,509,810,851,545,1026,1206,1235,991,814,419,1099,1013,1065,199,976,466,1595,95,1085,406,929,725,1097,783,503,1075,59,469,1204,1259,950,1062,133,1234,665,330,307,776,353,225,591,331,254,309,260,214,99,284,44,129,698,2
43,1021,671,661,876,661,566,278,215,249,1224,807,437,720,1063,826,990,951,482,713,451,73,644,613,725,883,537,1116,1067,1368,922,882,425,1200,1088,1100,170,1034,469,1433,115,1069,356,945,806,1050,743,439,1102,66,545,1166,1274,1086,954,117,1132,647,349,332,867,397,176,630,285,265,320,209,158,120,294,70,148,656,4
44,1049,676,724,859,736,522,234,199,234,1242,874,375,830,1083,802,936,919,573,643,479,88,613,697,804,883,597,1160,1162,1459,1063,859,519,1188,1162,1187,146,975,394,1534,162,1093,370,943,769,992,671,491,975,79,493,1145,1158,927,1003,106,1143,592,308,313,714,377,201,596,226,230,245,188,160,84,273,43,156,609,12
45,980,706,728,808,728,551,240,200,234,1308,848,321,743,1106,734,1017,852,511,793,395,83,684,747,723,859,643,1215,1016,1253,1006,835,460,1248,1066,1236,170,776,387,1458,145,1157,384,860,913,1077,826,524,992,68,437,1103,1276,966,976,114,1157,602,321,269,751,343,175,643,275,290,293,192,154,93,294,54,149,574,2
46,1044,746,611,797,845,582,236,209,236,1218,899,390,843,1180,682,963,729,737,819,269,79,778,713,688,850,592,1091,1023,1223,984,777,544,1004,1072,1256,170,887,415,1535,137,1075,369,954,928,962,746,474,948,71,509,1088,1165,861,967,127,1155,580,303,334,805,372,223,640,293,232,263,202,157,75,282,67,154,621,2
47,1055,629,687,814,711,509,225,198,255,1172,837,352,773,1178,761,825,639,700,843,514,73,734,590,698,782,670,1121,1112,1243,1090,956,408,1118,1185,1291,153,864,413,1419,139,1120,414,892,705,1072,791,505,975,44,545,1227,1072,862,879,153,1149,702,294,298,779,336,240,608,261,251,266,177,164,96,255,63,113,567,2
,0.935779817,0.19581749,3.97826087,2.617777778,1.950207469,0.935361217,-0.627483444,-0.721126761,-0.117647059,-0.393688567,0.56741573,-0.58974359,2.752427184,3.6015625,1.860902256,2.136882129,2.132352941,5.306306306,1.554545455,1.168776371,-0.71372549,0.931578947,1.129963899,4.674796748,0.670940171,1.3183391,2.046195652,4.673469388,2.801223242,-0.239888424,0.987525988,-0.133757962,3.600823045,3.372693727,3.232786885,-0.4,0.077306733,2.591304348,-0.560681115,0.323809524,5.292134831,-0.70659107,1.477777778,0.926229508,0.29468599,1.08707124,0.655737705,0.324728261,-0.642276423,0.912280702,0.233165829,0.29468599,4.824324324,0.515517241,-0.6015625,1.865336658,2.424390244,-0.56954612,-0.423597679,-0.276022305,-0.026086957,0.11627907,-0.001642036,0.359375,-0.268221574,-0.339950372,-0.385416667,-0.751138088,-0.766423358,0.058091286,-0.615853659,-0.675287356,-0.153731343,-0.970149254
