county1, county2, distance, netmig
65,66,1047,-2
65,68,709,-2
66,71,608,-2
72,73,1349,-2
0,14,927,-1
0,30,1550,-1
0,32,2539,-1
0,40,2037,-1
0,45,1812,-1
1,37,874,-1
1,63,955,-1
3,22,1582,-1
3,23,1073,-1
3,28,1055,-1
3,30,666,-1
3,66,1734,-1
4,17,258,-1
4,24,343,-1
4,36,2304,-1
4,40,402,-1
4,61,2388,-1
4,63,1130,-1
4,65,744,-1
4,71,267,-1
5,12,1075,-1
6,13,824,-1
6,19,732,-1
6,30,1110,-1
6,35,1245,-1
6,46,1706,-1
6,51,1037,-1
8,29,240,-1
8,46,1613,-1
9,19,902,-1
9,20,1230,-1
9,30,358,-1
9,35,1719,-1
9,47,722,-1
9,57,1628,-1
9,60,1847,-1
10,15,300,-1
10,35,2036,-1
10,60,2167,-1
10,64,620,-1
11,31,924,-1
11,66,1547,-1
12,39,935,-1
12,48,1155,-1
13,35,1785,-1
14,15,1484,-1
14,54,655,-1
15,17,223,-1
15,19,1474,-1
15,20,1711,-1
15,35,2292,-1
15,42,491,-1
16,21,899,-1
16,44,1403,-1
17,24,353,-1
17,31,594,-1
17,34,402,-1
17,39,1309,-1
17,69,952,-1
18,30,1199,-1
18,36,2425,-1
18,53,763,-1
18,66,1017,-1
18,68,959,-1
18,73,1080,-1
19,32,1615,-1
19,54,619,-1
19,70,1554,-1
19,71,1432,-1
20,24,1414,-1
20,27,1541,-1
20,32,1885,-1
20,37,818,-1
21,64,794,-1
22,37,1171,-1
22,61,2490,-1
22,73,1683,-1
23,41,1599,-1
23,57,1781,-1
24,37,721,-1
25,26,1984,-1
25,71,2267,-1
25,73,1335,-1
26,42,424,-1
27,52,719,-1
29,61,1579,-1
30,32,1023,-1
30,52,1052,-1
30,53,993,-1
31,32,1001,-1
31,33,1031,-1
31,35,2191,-1
31,39,1221,-1
31,40,949,-1
31,57,2030,-1
31,68,948,-1
32,50,2428,-1
32,62,2539,-1
35,69,1276,-1
35,70,2366,-1
35,71,2238,-1
35,72,1953,-1
36,54,1186,-1
37,68,725,-1
38,70,2358,-1
39,55,1197,-1
39,66,1769,-1
39,70,1466,-1
39,72,1170,-1
40,63,782,-1
41,44,1985,-1
41,65,1281,-1
42,46,1869,-1
43,73,1204,-1
44,50,2289,-1
44,57,2188,-1
44,59,2227,-1
44,61,2515,-1
45,48,1187,-1
45,73,1231,-1
46,52,2053,-1
47,52,1163,-1
47,54,2169,-1
47,58,2496,-1
47,69,1229,-1
49,71,1051,-1
49,73,550,-1
51,62,2396,-1
52,58,1876,-1
54,55,1758,-1
55,57,2006,-1
55,69,958,-1
56,70,1054,-1
57,66,2486,-1
57,72,1863,-1
58,66,2620,-1
58,70,2456,-1
59,68,1128,-1
60,68,1496,-1
60,70,2525,-1
62,70,2494,-1
65,71,678,-1
66,73,1876,-1
69,73,611,-1
71,73,1332,-1
0,22,2529,0
0,26,2102,0
0,31,2376,0
0,51,2408,0
0,52,1898,0
1,65,571,0
1,68,1219,0
1,73,1407,0
3,15,1457,0
3,47,1597,0
3,70,1542,0
4,25,2327,0
4,42,509,0
4,48,1446,0
4,52,988,0
5,23,1246,0
5,26,1266,0
5,43,1455,0
5,45,1141,0
5,66,1969,0
6,10,1256,0
6,52,518,0
7,17,2005,0
7,18,1958,0
7,22,2207,0
7,52,1509,0
7,55,1965,0
7,66,2362,0
8,31,922,0
10,39,1226,0
10,41,1772,0
10,48,1308,0
10,52,912,0
11,48,352,0
12,52,901,0
12,73,1194,0
13,20,1154,0
13,68,752,0
14,33,564,0
14,40,1117,0
14,47,1624,0
15,25,2311,0
15,33,930,0
15,54,1999,0
15,62,2409,0
15,63,1109,0
15,68,1317,0
15,73,1495,0
16,27,952,0
16,52,853,0
17,33,871,0
17,63,1032,0
17,67,1072,0
18,35,2166,0
18,46,2423,0
18,50,2116,0
18,62,2329,0
18,69,915,0
19,52,1028,0
19,55,1460,0
19,63,391,0
20,26,1271,0
20,59,618,0
20,65,1008,0
20,71,1603,0
22,26,739,0
22,40,492,0
23,48,1043,0
25,28,1908,0
25,32,2445,0
25,44,2416,0
25,47,2450,0
25,55,2225,0
25,70,2392,0
27,40,436,0
27,46,2295,0
27,57,2047,0
27,63,982,0
27,71,66,0
28,39,1033,0
28,49,749,0
29,41,1033,0
29,62,1591,0
30,35,1483,0
30,48,1216,0
30,55,1320,0
31,50,2131,0
31,61,2344,0
31,66,1178,0
32,41,2162,0
32,60,2564,0
32,61,2500,0
32,63,1266,0
32,68,1509,0
32,73,1690,0
33,35,1362,0
33,66,1238,0
35,52,1709,0
35,66,2576,0
37,53,1132,0
37,66,1324,0
37,71,1035,0
37,73,912,0
39,45,991,0
39,59,861,0
39,64,688,0
41,52,1344,0
41,55,1802,0
42,52,706,0
42,61,1882,0
42,67,786,0
44,62,2532,0
44,70,815,0
45,66,858,0
46,48,1831,0
46,54,1088,0
46,64,1840,0
46,69,1520,0
46,73,1762,0
47,50,2433,0
47,57,2340,0
47,61,2505,0
47,65,888,0
47,68,1516,0
48,55,911,0
48,66,1799,0
49,64,423,0
49,66,1484,0
49,72,888,0
50,66,2577,0
52,54,1301,0
52,56,1050,0
52,61,1868,0
52,72,923,0
53,57,2279,0
53,60,2519,0
53,65,823,0
53,71,348,0
54,56,1342,0
54,66,2325,0
54,70,2050,0
54,71,1908,0
55,60,2384,0
55,67,929,0
55,73,1014,0
56,63,555,0
56,64,700,0
57,65,1459,0
58,71,2338,0
58,73,1466,0
59,66,2547,0
61,66,2631,0
61,70,2460,0
61,71,2341,0
62,68,1448,0
63,64,453,0
63,66,1427,0
64,66,1125,0
64,72,605,0
66,68,1692,0
66,69,1393,0
68,70,1324,0
0,23,2028,1
0,68,1465,1
0,70,2498,1
1,4,195,1
1,20,1577,1
1,48,1335,1
1,54,1852,1
2,20,1337,1
2,39,1053,1
2,52,811,1
3,8,620,1
3,27,1358,1
3,69,518,1
4,16,1037,1
4,46,2343,1
4,54,2022,1
4,55,860,1
4,56,930,1
5,6,612,1
5,46,1098,1
5,60,895,1
6,22,1572,1
6,47,1587,1
6,70,1391,1
7,31,1988,1
7,62,376,1
7,70,2149,1
8,12,784,1
9,14,902,1
9,31,1010,1
9,32,717,1
9,66,858,1
10,18,767,1
10,57,1940,1
11,55,901,1
11,60,1483,1
12,15,707,1
12,17,742,1
12,37,405,1
12,49,671,1
12,54,1434,1
12,64,544,1
12,66,931,1
13,15,567,1
13,46,1954,1
13,52,461,1
13,70,596,1
14,26,1199,1
14,32,1618,1
14,51,1544,1
14,55,1505,1
15,41,2004,1
15,46,2336,1
15,52,955,1
15,55,826,1
15,58,2366,1
15,60,2438,1
16,45,436,1
16,66,1289,1
16,73,952,1
17,25,2251,1
17,64,621,1
17,65,660,1
18,33,935,1
18,37,1107,1
18,41,1814,1
18,56,1189,1
18,64,583,1
19,31,1481,1
19,47,1620,1
19,64,844,1
22,23,577,1
22,35,2423,1
22,57,2325,1
22,63,1257,1
23,39,1017,1
23,61,1991,1
24,25,1984,1
25,27,2201,1
25,31,2248,1
26,35,1944,1
26,53,670,1
26,60,2132,1
26,65,472,1
26,73,975,1
27,39,1259,1
27,73,1279,1
28,35,1888,1
30,46,1400,1
30,64,704,1
31,48,936,1
31,62,2363,1
32,46,2424,1
32,57,2334,1
32,58,2491,1
32,69,1223,1
33,60,1518,1
34,39,956,1
34,46,1940,1
34,52,613,1
34,61,1925,1
34,66,820,1
35,40,1933,1
35,44,2354,1
35,46,730,1
35,47,2439,1
36,52,2076,1
38,41,335,1
38,44,2319,1
39,58,1137,1
40,57,1839,1
40,66,647,1
43,57,1995,1
43,61,2234,1
44,58,2523,1
44,60,2577,1
45,61,1774,1
46,55,2478,1
46,70,2451,1
47,59,2400,1
48,58,1553,1
48,69,589,1
49,52,578,1
49,54,858,1
49,55,1009,1
49,56,692,1
51,59,2112,1
51,60,2439,1
51,68,994,1
52,57,1547,1
52,71,763,1
55,59,2047,1
57,70,2247,1
59,67,1127,1
61,62,54,1
61,69,1398,1
65,72,452,1
68,71,1168,1
69,70,1104,1
0,9,1821,2
0,39,1158,2
0,64,1778,2
2,4,462,2
2,8,835,2
2,32,574,2
2,58,1920,2
2,62,1966,2
3,63,395,2
3,72,1110,2
4,20,1736,2
4,22,161,2
4,57,2203,2
4,70,178,2
4,73,1526,2
5,22,1800,2
5,52,1034,2
5,68,610,2
6,31,988,2
6,62,1436,2
7,45,1507,2
7,73,1086,2
8,15,1159,2
8,25,1326,2
8,62,1441,2
8,66,1522,2
8,70,1184,2
10,16,751,2
10,54,1778,2
10,70,440,2
