county,total,owner,u5,5to10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a,renter,u5,5to10,10to15,15to20,20to25,25to35,35to50,50to75,75to100,100to150,150a
la,3230383,1515098,25143,20071,36050,41012,47739,96952,156712,254138,220008,295009,322264,1715285,85175,78661,154250,132368,120001,213229,254144,291231,164873,142809,78544
dc,263649,111070,2100,1595,2180,1930,2334,4819,8184,15027,12916,21313,38672,152579,11359,12296,10040,8245,7685,13681,19205,23094,16040,17429,13505
suffolk,288240,102413,1525,1278,2344,2544,2630,5103,8887,16798,15285,21623,24396,185827,15583,15763,17991,12544,10155,16705,23409,28452,16941,17191,11093
multnomah,305939,165713,2555,2208,3851,4939,5023,11045,19757,32612,26871,32740,24112,140226,9213,11720,12658,11278,10809,19869,21726,21848,10736,7094,3275
