county,total,10less,10to15,15to20,20to25,25to35,25to35,35to50,35to50,35to50,50to75,50to75,75to100,100to150,100to150,150plus,150plus
la,1225958,71454,49040,59028,62348,59193,64423,55255,57244,50688,100077,126136,159547,108182,65219,70508,67616
dc,115536,8317,3018,2934,3302,3289,3777,3758,4279,3847,7775,9867,16162,12116,8254,11039,13802
suffolk,122512,10678,4638,4246,4499,3680,4104,4000,5279,4855,9323,12107,16064,12216,8803,8890,9130
multnomah,127240,8826,5110,6156,6062,6096,6169,5963,6295,5742,10676,13642,17275,12085,6168,6129,4846
