county1, county2, distance, net_mig
7, 61, 364, -68
7, 62, 376, -72
7, 63, 973, -80
7, 64, 1407, -4
7, 65, 1354, -36
7,66, 2362, -47
7, 67, 1035, -46
7, 68, 1073, -10
7, 69, 1062, -7
7, 70, 2149, 7)
7, 71, 2021, 8
7, 72, 1738, 74
7, 73, 1086, 2
8, 9, 765, 58
8, 10, 995, 96
8, 11, 31, 105
8, 12, 784, 70
8, 13, 592, -22
8, 14, 647, -98
8, 15, 1159, -2
8, 16, 560, -141
8, 17, 1023, 3
8, 18, 895, -48
8, 19, 590, -53
8, 20, 572, 31
8, 21, 1171, 14
8, 22, 1334, 25
8, 23, 757, 20
8, 24, 884, 52
8, 25, 1326, 9
8, 26, 698, -34
8, 27, 973, -20
8, 28, 787, -18
8, 29, 240, -136
8, 30, 833, -5
8, 31, 922, -55
8, 32, 1343, -123
8, 33, 420, -135
8, 34, 701, -67
8, 35, 1272, 49
8, 36, 1644, 6
8, 37, 524, -49
8, 38, 1244, 315
8, 39, 304, 30
8, 40, 916, -27
8, 41, 919, 100
8, 42, 735, -25
8, 43, 909, -25
8, 44, 1094, -64
8, 45, 823, 3
8, 46, 1613, 12
8, 47, 1349, -72
8, 48, 383, 14
8, 49, 170, -34
8, 50, 1220, -65
8, 51, 955, -98
8, 52, 448, -57
8, 53, 1274, -5
8, 54, 888, 53
8, 55, 899, -153
8, 56, 838, 6
8, 57, 1119, 82
8, 58, 1429, 70
8, 59, 1166, -51
8, 60, 1484, -5
8, 61, 1422, 25
8, 62, 1441, -19
8, 63, 314, -8
8, 64, 405, 1
8, 65, 508, 4
8, 66, 1522, 19
8, 67, 50, 70
8, 68, 210, 45
8, 69, 206, -8
8, 70, 1184, 5
8, 71, 1034, 8
8, 72, 958, 47
8, 73, 410, 8
9, 10, 320, 568
9, 11, 796, -194
9, 12, 117, 375
9, 13, 396, 77
9, 14, 902, -102
9, 15, 603, 383
9, 16, 432, 705
9, 17, 626, 94
9, 18, 866, -230
9, 19, 902, 190
9, 20, 1230, -68
9, 21, 469, 109
9, 22, 707, 196
9, 23, 317, 289
9, 24, 282, 119
9, 25, 1727, -79
9, 26, 585, 382
9, 27, 587, 460
9, 28, 251, 297
9, 29, 929, -261
9, 30, 358, -792
9, 31, 1010, -206
9, 32, 717, 1104
9, 33, 395, -65
9, 34, 277, 322
9, 35, 1719, -90
9, 36, 1700, 18
9, 37, 465, -75
9, 38, 1723, -701
9, 39, 951, -32
9, 40, 215, 19
9, 41, 1466, -283
9, 42, 167, -26
9, 43, 592, -55
9, 44, 1195, -185
9, 45, 80, -276
9, 46, 1734, 12
9, 47, 722, 407
9, 48, 1122, -21
9, 49, 674, -140
9, 50, 1719, -182
9, 51, 988, -320
9, 52, 824, -108
9, 53, 673, -26
9, 54, 1478, -88
9, 55, 1003, -220
9, 56, 344, 35
9, 57, 1628, -140
9, 58, 1773, -152
9, 59, 1690, -313
9, 60, 1847, 34
9, 61, 1782, -52
9, 62, 1821, -173
9, 63, 586, -80
9, 64, 473, -99
9, 65, 261, -75
9, 66, 858, 46
9, 67, 813, -130
9, 68, 969, -104
9, 69, 588, -65
9, 70, 719, -18
9, 71, 646, -28
9, 72, 234, 27
9, 73, 1170, -13
10, 11, 1023, -145
10, 12, 413, 188
10, 13, 456, -143
10, 14, 1220, 63
10, 15, 300, 96
10, 16, 751, 212
10, 17, 401, 89
10, 18, 767, -319
10, 19, 1218, 462
10, 20, 1511, -88
10, 21, 176, 130
10, 22, 388, -571
10, 23, 277, 222
10, 24, 123, -85
10, 25, 2047, -130
10, 26, 549, 499
10, 27, 383, 281
10, 28, 216, 1
10, 29, 1108, -399
10, 30, 644, 4301
10, 31, 933, -153
10, 32, 398, 2279
10, 33, 690, 183
10, 34, 308, 233
10, 35, 2036, -83
10, 36, 2001, -43
10, 37, 783, 60
10, 38, 2038, -758
10, 39, 1226, -97
10, 40, 104, 56
10, 41, 1772, -274
10, 42, 261, -151
10, 43, 429, -68
10, 44, 1094, -208
10, 45, 340, -156
10, 46, 2042, -179
10, 47, 403, 635
10, 48, 1308, -28
10, 49, 942, -113
10, 50, 2033, -236
10, 51, 890, -244
10, 52, 912, -174
10, 53, 354, -193
10, 54, 1778, -137
10, 55, 934, -158
10, 56, 627, -76
10, 57, 1940, -224
10, 58, 2093, -190
10, 59, 2001, -260
10, 60, 2167, 53
10, 61, 2102, -71
10, 62, 2141, -205
10, 63, 879, -97
10, 64, 620, -99
10, 65, 503, -65
10, 66, 547, -8
10, 67, 1046, -135
10, 68, 1181, -80
10, 69, 851, -68
10, 70, 440, -32
10, 71, 422, -61
10, 72, 103, -69
10, 73, 1375, -29
11, 12, 816, 84
11, 13, 615, -24
11, 14, 660, -130
11, 15, 1182, 14
11, 16, 590, -197
11, 17, 1043, 48
11, 18, 903, -31
11, 19, 602, -91
11, 20, 557, 25
11, 21, 1199, 79
11, 22, 1359, 96
11, 23, 782, 74
11, 24, 911, 137
11, 25, 1324, -74
11, 26, 714, -43
11, 27, 994, 16
11, 28, 814, 34
11, 29, 217, -167
11, 30, 863, -40
11, 31, 924, -121
11, 32, 1367, -147
11, 33, 451, -178
11, 34, 728, -50
11, 35, 1267, 63
11, 36, 1655, 87
11, 37, 553, -58
11, 38, 1238, -227
11, 39, 297, 42
11, 40, 944, 1
11, 41, 910, 92
11, 42, 764, 35
11, 43, 928, -3
11, 44, 1094, -85
11, 45, 854, 14
11, 46, 1622, -8
11, 47, 1374, -109
11, 48, 352, 18
11, 49, 195, -62
11, 50, 1212, -114
11, 51, 960, -163
11, 52, 446, -86
11, 53, 1299, -60
11, 54, 876, 58
11, 55, 901, -235
11, 56, 869, -38
11, 57, 1111, 73
11, 58, 1429, 140
11, 59, 1157, -109
11, 60, 1483, -14
11, 61, 1421, 24
11, 62, 1439, -41
11, 63, 341, -19
11, 64, 428, 21
11, 65, 538, 14
11, 66, 1547, 55
11, 67, 29, 88
11, 68, 178, 67
11, 69, 236, -3
11, 70, 1205,19
11, 71, 1054, 20
11, 72, 987, 54
11, 73, 378, 1
12, 13, 497, -71
12, 14, 832, 182
12, 15, 707, 72
12, 16, 366, 582
12, 17, 742, 184
12, 18, 978, -115
12, 19, 839, 542
12, 20, 1205, -78
12, 21, 541, -111
12, 22, 794, -131
12, 23, 433, 58
12, 24, 394, -178
12, 25, 1651, -59
12, 26, 694, 832
12, 27, 704, 108
12, 28, 369, 33)
12, 29, 971, -256
12, 30, 242, 2146
12, 31, 1119, -57
12, 32, 804, 2768
12, 33, 380, 291
12, 34, 390, 170
12, 35, 1648, -103
12, 36, 1592, -178
12, 37, 405, 56
12, 38, 1657, -582
12, 39, 935, -53
12, 40, 311, -111
12, 41, 1414, -272
12, 42, 283, -122
12, 43, 709, -116
12, 44, 1306, -96
12, 45, 73, -110
12, 46, 1629, -44
12, 47, 809, 721
12, 48, 1155, -38
12, 49, 671, -21
12, 50, 1656, -89
12, 51, 1099, -110
12, 52, 901, -124
12, 53, 767, -128
12, 54, 1434, -88
12, 55, 1110, -177
12, 56, 227, -117
12, 57, 1568, -198
12, 58, 1689, -161
12, 59, 1631, -243
12, 60, 1764, 118
12, 61, 1700, -106
12, 62, 1740, -100
12, 63, 563, -53
12, 64, 544, -109
12, 65, 310, -36
12, 66, 931, -139
12, 67, 830, -120
12, 68, 993, -40
12, 69, 592, -28
12, 70, 830, -23
12, 71, 763, -77
12, 72, 315, -171
12, 73, 1194, -15
13, 14, 1015, 327
13, 15, 567, -389
13, 16, 617, 477
13, 17, 441, -491
13, 18, 499, 264
13, 19, 988, -188
13, 20, 1154, -17
13, 21, 625, 47
13, 22, 748, -16
13, 23, 181, -159
13, 24, 333, -338
13, 25, 1818, 92
13, 26, 210, -679
13, 27, 390, -401
13, 28, 242, -178
13, 29, 662, 125
13, 30, 704, -1067
13, 31, 626, 139
13, 32, 756, -652
13, 33, 458, 833
13, 34, 152, -18
13, 35, 1785,-13
13, 36, 1945, 172
13, 37, 623, 306
13, 38, 1772, 91
13, 39, 870, -35
13, 40, 412, 62
13, 41, 1468, -61
13, 42, 252, 117
13, 43, 339, 124
13, 44, 817, 216
13, 45, 476, 116
13, 46, 1954, 23
13, 47, 763, 72
13, 48, 862, -12
13, 49, 596, 66
13, 50, 1756, 135
13, 51, 614, 167
13, 52, 461, 80
13, 53, 685, 37
13, 54, 1454, -39)
13, 55, 616, 7
13, 56, 695, -19
13, 57, 1657, -40
13, 58, 1894, -52
13, 59, 1711, 54
13, 60, 1960, 15
13, 61, 1895, 6
13, 62, 1925, 145
13, 63, 598, 41
13, 64, 187, -2
13, 65, 264, 74
13, 66, 940, -12
13, 67, 642, 0
13, 68, 752, -7
13, 69, 511, 65
13, 70, 596, 21
13, 71, 455, -55
13, 72, 462, 4
13, 73, 936, 5
14, 15, 1484, -335
14, 16, 469, -748
14, 17, 1436, -323
14, 18, 1459, 27
14, 19, 67, -269
14, 20, 557, 31
14, 21, 1369, -28
14, 22, 1608, -174
14, 23, 1101, -233
14, 24, 1157, -174
14, 25, 826, 96
14, 26, 1199, -350
14, 27, 1387, -374
14, 28, 1083, -292
14, 29, 869, 320
14, 30, 684, -521
14, 31, 1525, 215
14, 32, 1618, -675
14, 33, 564, -306
14, 34, 1036, -426
14, 35, 817, 45
14, 36, 997, 24
14, 37, 437, -18
14, 38, 825, 484
14, 39, 457, 40
14, 40, 1117, 116
14, 41, 611, 99
14, 42, 993, 109
14, 43, 1350, 100
14, 44, 1710, 324
14, 45, 904, 79
14, 46, 974, 50
14, 47, 1624, -237
14, 48, 929, 15
14, 49, 501, 93
14, 50, 826, 364
14, 51, 1544, 404
14, 52, 1079, 121
14, 53, 1570, 112
14, 54, 655, 51
14, 55, 1505, 303
14, 56, 701, 72
14, 57, 742, 60
14, 58, 885, 117
14, 59, 806, 337
14, 60, 955, -8
14, 61, 890, 70
14, 62, 924, 242
14, 63, 425, 107
14, 64, 878, 94
14, 65, 775, 50
14, 66, 1759, 13
14, 67, 641, 82
14, 68, 764, 55
14, 69, 547, 77
14, 70, 1570, 11
14, 71, 1453, -24
14, 72, 1136, 52
14, 73, 887, 9
15, 16, 1023, 825
15, 17, 223, 270
15, 18, 649, 113
15, 19, 1474, 613
15, 20, 1711, -11
15, 21, 281, -134
15, 22, 196, -46
15, 23, 407, -237
15, 24, 328, -147
15, 25, 2311, 17
15, 26, 544, 57
15, 27, 247, 358
15, 28, 404, -21
15, 29, 1217, -5
15, 30, 943, -745
15, 31, 817, 44
15, 32, 201, -952
15, 33, 930, 441
15, 34, 470, 183
15, 35, 2292, -9
15, 36, 2299, -1
15, 37, 1049, 180
15, 38, 2288, -160
15, 39, 1425, -23
15, 40, 396, -57
15, 41, 2004, -104
15, 42, 491, -51
15, 43, 328, 87
15, 44, 941, 109
15, 45, 637, -76
15, 46, 2336, -69
15, 47, 208, 37
15, 48, 1414, -10
15, 49, 1143, -7
15, 50, 2278, 94
15, 51, 758, 19
15, 52, 955, 101
15, 53, 125, -17)
15, 54, 1999, -36
15, 55, 826, 64
15, 56, 926, 17
15, 57, 2183, -85
15, 58, 2366, -92
15, 59, 2241, 28
15, 60, 2438, 34
15, 61, 2373, -28
15, 62, 2409, -22
15, 63, 1109,25
15, 64, 754, -20
15, 65, 723, 33
15, 66, 391, -90
15, 67, 1209, -60
15, 68, 1317, -7
15, 69, 1053, -1
15, 70, 157, -27
15, 71, 233, 42
15, 72, 403, -53
15, 73, 1495, -4
16, 17, 999, -676
16, 18, 1107, 455
16, 19, 473, -527
16, 20, 862, 40
16, 21, 899, -213
16, 22, 1140, -500
16, 23, 660, -602
16, 24, 695, -419
16, 25, 1295, 112
16, 26, 823, -560
16, 27, 952, -1030
16, 28, 629, -623
16, 29, 791, 468
16, 30, 290,-1006
16, 31, 1211, 297
16, 32, 1150, -897
16, 33, 184, 1019
16, 34, 597, 159
16, 35, 1287, 87
16, 36, 1329, 52
16, 37, 44, 302
16, 38, 1293, 687
16, 39, 614, 70
16, 40, 648, 121
16, 41, 1049, 177
16, 42, 535, 35
16, 43, 929, 68
16, 44, 1403, 436
16, 45, 436, 8
16, 46, 1344, 26
16, 47, 1155, -320
16, 48, 941, 24
16, 49, 402, 157
16, 50, 1290, 448
16, 51, 1213, 595
16, 52, 853, 265
16, 53, 1103, 49
16, 54, 1071, 80
16, 55, 1195, 502
16, 56, 300, 69
16, 57, 1202, 128
16, 58, 1344, 142
16, 59, 1264, 428
16, 60, 1416, 28
16, 61, 1352, 90
16, 62, 1389, 296
16, 63, 259, 151
16, 64, 541, 169
16, 65, 353, 172
16, 66, 1289, 28
16, 67, 592, 124
16, 68, 763, 79
16, 69, 357, 123
16, 70, 1121, 15
16, 71, 1018, 11
16, 72, 666, 10
16, 73, 952, 3
17, 18, 426, 234
17, 19, 1416, 41
17, 20, 1592, 3
17, 21, 465, -72
17, 22, 413, -39
17, 23, 338, -182
17, 24, 353, -169
17, 25, 2251, 43
17, 26, 352, -373
17, 27, 50, -414
17, 28, 379, -425
17, 29, 1047, 42
17, 30, 984, -453
17, 31, 594, 74
17, 32, 417, -175
17, 33, 871, 506
17, 34, 402, 5
17, 35, 2222, -5
17, 36, 2316, 135
17, 37, 1016, 103
17, 38, 2211, 58
17, 39, 1309, 15
17, 40, 463, -70
17, 41, 1909, -19
17, 42, 473, -2
17, 43, 122, 76
17, 44, 727, 71
17, 45, 682, 1
17, 46, 2340, -5
17, 47, 424, 26
17, 48, 1238, 3
17, 49, 1037, 36
17, 50, 2196, 115
17, 51, 538, 69
17, 52, 761, 69
17, 53, 341, 1
17, 54, 1895, -19
17, 55, 602, 57
17, 56, 969, 20
17, 57, 2098, -23
17, 58, 2321, -11
17, 59, 2152, 39
17, 60, 2389, 11
17, 61, 2324, 17
17, 62, 2355, 78
17, 63, 1032, 38
17, 64, 621, 24
17, 65, 660, 22
17, 66, 603, 35
17, 67, 1072, -20
17, 68, 1160, -19
17, 69, 952, 17
17, 70, 164, -21
17, 71, 21, 41
17, 72, 493, 26
17, 73, 1326, 3
18, 19, 1420, -189
18, 20, 1454, -11
18, 21, 874, 27
18, 22, 834, 95
18, 23, 556, -85
18, 24, 670, 72
18, 25, 2216, 48
18, 26, 289, -260
18, 27, 412, -223
18, 28, 633, 21
18, 29, 820, 69
18, 30, 1199, -321
18, 31, 169, 93
18, 32, 837, -470
18, 33, 935, -288
18, 34, 589, -307
18, 35, 2166, 10
18, 36, 2425, 125
18, 37, 1107, -110
18, 38, 2140, 104
18, 39, 1200, -2
18, 40, 788, -25
18, 41, 1814, -46
18, 42, 700, 90
18, 43, 343, 11
18, 44, 333, 194
18, 45, 942, 35
18, 46, 2423, 36
18, 47, 843, -75
18, 48, 979, 4
18, 49, 979, 54
18, 50, 2116, 132
18, 51, 125, 163
18, 52, 491, 102
18, 53, 763, 92
18, 54, 1778, 1
18, 55, 176, 82
18, 56, 1189, 71
18, 57, 2015, 9
18, 58, 2310, 19
18, 59, 2060, 97
18, 60, 2370, 14
18, 61, 2306, 17
18, 62, 2329, 93
18, 63, 1034, 43
18, 64, 583, 19
18, 65, 760, 7
18, 66, 1017, 45
18, 67, 933, 35
18, 68, 959, -3
18, 69, 915, 17)
18, 70, 550, 6
18, 71, 416, -10
18, 72, 831, 63
18, 73, 1080, 2
19, 20, 497, 20
19, 21, 1371, -235
