County,heat2013,heat2060,dheat_dmonth,rain2013,rain2060,drain_dmonth,dry2013,dry2060,ddry_dmonth
Tarrant,96.2,145.5,0.087411348,5.7,5.9,0.00035461,251.1,31.2,-0.389893617
Travis,118.3,159.2,0.07251773,10.1,6.2,-0.006914894,235.7,259.5,0.042198582
Tulsa,54.1,116,0.109751773,5,7.9,0.005141844,219.9,236.3,0.029078014
Virginia Beach City,12.9,69.7,0.10070922,7.4,8.1,0.001241135,189.7,189.8,0.000177305
Wake,17.3,100.4,0.147340426,8.9,7.6,-0.002304965,171.3,187.4,0.028546099
Wayne,5.1,53.7,0.086170213,6,4.2,-0.003191489,170.9,184,0.02322695
Webb,146.6,209.1,0.110815603,3.4,4.3,0.001595745,260.4,285.2,0.043971631
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
