id,fbucket4,mpct2,mpct3,mbucket2,fpct4,fbucket1,mbucket4,fpct1,mpct4,m_total,mbucket3,f_total,mpct1,mbucket1,fbucket3,total_18+,name,fpct3,fpct2,fbucket2
0,675073,0.4016693079191204,0.28654134128345776,1472596,0.1750790169351829,521919,544955,0.1353587914785419,0.1486434145529828,3666190,1050515,3855819,0.14819690196089128,543318,1102507,7522000,losangeles,0.2859332868062531,0.3764276798262574,1451437
1,44486,0.4380158055319362,0.251617232698111,105087,0.1622605447834143,45738,33533,0.1668271545498315,0.1397697527467947,239916,60367,274164,0.15853465379549508,38035,63921,514000,dc,0.2331487722676938,0.4112465531579638,112749
2,47998,0.42656248921052087,0.22952415807536408,123547,0.1510444529760144,64200,37106,0.20203037378766042,0.1281134120994082,289634,66478,317774,0.20341534488354268,58916,71385,607400,suffolk,0.2246407824428682,0.397184791707314,126215
3,50314,0.44166182253376646,0.28604889724739274,129164,0.16560027383914583,35385,41735,0.11646392037600221,0.142708155240212,292450,83655,303828,0.1162933834843563,34010,82912,596200,multnomah,0.2728912410969364,0.4151263214713588,126127
