county_1, county_2, net_mig, distance
4, 25, 89, 2327
4, 26, 2, 578
4, 27, -7, 282
4, 28, 10, 423
4, 29, 38, 1248
4, 30, -44, 947
4, 31, 56, 851
4, 32, 39, 167
4, 33, 17, 949
4, 34, -21, 493
4, 35, 10, 2310
4, 36, -46, 2304
4, 37, 14, 1064
4, 38, 19, 2307
4, 39, -23, 1450
4, 40, -25, 402
4, 41, -107, 2025
4, 42, -18, 509
4, 43, 4, 363
4, 44, 9, 974
4, 45, -5, 642
4, 46, -59, 2343
4, 47, -38, 174
4, 48, 3, 1446
4, 49, 76, 1167
4, 50, 4, 2298
4, 51, 118, 792
4, 52, 37, 988
4, 53, 35, 92
4, 54, -4, 2022
4, 55, 153, 860
4, 56, -17, 930
4, 57, -17, 2203
4, 58, 24, 2381
4, 59, 106, 2261
4, 60, -1, 2453
4, 61, 16, 2388
4, 62, -20, 2424
4, 63, 10, 1130
4, 64, -9, 783
4, 65, 13, 744
4, 66, -10, 357
4, 67, -12, 1236
4, 68,0, 1347
4, 69, 9, 1077
4, 70, -24, 178
4, 71, -15, 267
4, 72, -56, 405
4, 73,4, 1526
5, 6, 6, 612
5, 7, -29, 475
5, 8, 11, 591
5, 9, -45, 1119
5, 10, -4, 1421
5, 11, 0, 588
5, 12, -80, 1075
5, 13, -36, 1117
5, 14, -8, 339
5, 15, -1, 1651
5, 16, 77, 714
5, 17, 0, 1558
5, 18, 1, 1484
5, 19, -6, 286
5, 20, -6, 228
5, 21, 10, 1585
5, 22, 45, 1800
5, 23, -1, 1246
5, 24, -4, 1336
5, 25, 29, 735
5, 26, 5, 1266
5, 27, -21, 1508
5, 28, 15, 1248
5, 29, 60, 747
5, 30, -20, 977
5, 31, 87, 1512
5, 32, 3, 1809
5, 33, 37, 731
5, 34, 44, 1181
5, 35, 4, 681
5, 36, -3, 1160
5, 37, 17, 672
5, 38, 74, 658
5, 39, -12, 293
5, 40, -28, 1322
5, 41, -89, 353
5, 42, -26, 1169
5, 43, 29, 1455
5, 44, 37, 1681
5, 45, 6, 1141
5, 46, -87, 1098
5, 47, -20, 1815
5, 48, -5, 734
5, 49, 137, 522
5, 50, 22, 639
5, 51, 126, 1547
5, 52, 5, 1034
5, 53, -6, 1751
5, 54, -33, 359
5, 55,92, 1489
5, 56, -169, 992
5, 57, -11, 540
5, 58, 23, 844
5, 59, 46, 593
5, 60, 26, 895
5, 61, 9, 834
5, 62, -8, 851
5, 63, 13, 543
5, 64, -22, 946
5, 65, -19, 928
5, 66, -23, 1969
5, 67, -15, 559
5, 68, -19, 610
5, 69, 25, 606
5, 70,-1, 1709
5, 71, -10, 1573
5, 72, -33, 1351
5, 73, 4, 663
6, 7, 57, 1063
6, 8,-88, 283
6, 9, 143, 1044
6, 10, 57, 1256
6, 11, -134, 251
6, 12, 11, 1067
6, 13, 47, 824
6, 14, 39, 798
6, 15, 43, 1387
6, 16, 6, 829
6, 17, 22, 1226
6, 18, 40, 1010
6, 19, 40, 732
6, 20, 36, 486
6, 21, 9, 1431
6, 22, 42, 1572
6, 23,15, 1000
6, 24, 48, 1139
6, 25, -128, 1319
6, 26, 76, 879
6, 27, -1, 1179
6, 28, -2, 1042
6, 29, -160, 189
6, 30, 68, 1110
6, 31, -122, 988
6, 32, 38, 1580
6, 33, 23, 702
6, 34, 28, 952
6, 35, -44, 1245
6, 36, 21, 1759
6, 37, -31, 790
6, 38, -292, 1201
6, 39, -117, 346
6, 40, 4, 1183
6, 41, 128, 866
6, 42, 25, 1001
6, 43, 17, 1106
6, 44, 12, 1130
6, 45, 40, 1105
6, 46, 39, 1706
6, 47, 107, 1587
6, 48, 28, 130
6, 49, -108, 426
6, 50, 19, 1168
6, 51, -131, 1037
6, 52, -43, 518
6, 53, 0, 1509
6, 54, 41, 808
6, 55, -207, 963
6, 56, -41, 1116
6, 57, 57, 1069
6, 58, -180, 1442
6, 59, -217, 1103
6, 60, -21, 1485
6, 61, -174, 1428
6, 62, -15, 1436
6, 63, -29, 572
6, 64, 17, 641
6, 65, 6, 784
6, 66, 51, 1764
6, 67, -30, 241
6, 68, 11, 75
6, 69, 22, 485
6, 70, 41, 1391
6, 71, 29, 1234
6, 72, 45, 1227
6, 73, 2, 126
7, 8, -85, 1067
7, 9, 145, 1504
7, 10, 54, 1820
7, 11, -122, 1064
7, 12, 24, 1435
7, 13, 41, 1569
7, 14, 39, 603
7, 15, 15, 2075
7, 16, 11, 1072
7, 17, 28, 2005
7, 18, 46, 1958
7, 19, 8, 602
7, 20, -14, 588
7, 21, 17, 1972
7, 22, 45, 2207
7, 23, 33, 1680
7, 24, 57, 1750
7, 25, -108, 260
7, 26, 9, 1730
7, 27, 11, 1955
7, 28, 6, 1671
7, 29, -160, 1215
7, 30, 26, 1277
7, 31, -82, 1988
7, 32, 19, 2217
7, 33, 35, 1145
7, 34, 11, 1614
7, 35, -125, 217
7, 36, 52, 853
7, 37, 28, 1038
7, 38, -235, 223
7, 39, -122, 768
7, 40, 19, 1717
7, 41,181, 243
7, 42, 52, 1584
7, 43, 15, 1909
7, 44, 16, 2156
7, 45, 43, 1507
7, 46, 61, 751
7, 47, 114, 2223
7, 48, -35, 1172
7, 49, -71, 985
7, 50, 31, 232
7,51, -119, 2022
7, 52, -9, 1509
7, 53, -18, 2166
7, 54, 54, 338
7, 55, -163, 1965
7, 56, -19, 1295
7, 57, 84, 179
7, 58, -167, 380
7, 59, -197, 240
7, 60, -34, 423
7, 61, -156, 364
7, 62, 8, 376
7, 63, -60, 973
7, 64, -48, 1407
7, 65, 52, 1354
7, 66, -52, 2362
7, 67, -128, 1035
7, 68, -24, 1073
7, 69, 32, 1062
7, 70, 19, 2149
7, 71, 18, 2021
7, 72, 78, 1738
7, 73, 5, 1086
8, 9, 65, 765
8, 10, 1, 995
8, 11, 170, 31
8, 12, -16, 784
8, 13, -3, 592
8, 14, -35, 647
8, 15, -60, 1159
8, 16, -93, 560
8, 17, -41, 1023
8, 18, 21, 895
8, 19, -18, 590
8, 20, 38, 572
8, 21, 17, 1171
8, 22, -43, 1334
8, 23, -39, 757
8, 24, -36, 884
8, 25, -40, 1326
8, 26, 2, 698
8, 27, -47, 973
8, 28, -9, 787
8, 29, -261, 240
8, 30, 28, 833
8, 31, -109, 922
8, 32, -41, 1343
8, 33, -77, 420
8, 34, -50, 701
8, 35, 38,1272
8, 36, 1, 1644
8, 37, -34, 524
8, 38, 371, 1244
8, 39, 43, 304
8, 40, -89, 916
8, 41, 138, 919
8, 42, -9, 735
8, 43, 7, 909
8, 44, -40, 1094
8, 45, -14, 823
8, 46, 17, 1613
8, 47, 11, 1349
8, 48, 27, 383
8, 49, -120, 170
8, 50, 11, 1220
8, 51, -138, 955
8, 52, -70, 448
8, 53, -92, 1274
8, 54, 69, 888
8, 55, -304, 899
8, 56, 18, 838
8, 57, 65, 1119
8, 58, 94, 1429
8, 59, -129, 1166
8, 60, 9, 1484
8, 61, 71, 1422
8, 62, 56, 1441
8, 63, 36, 314
8, 64, 26, 405
8, 65, 59, 508
8, 66, 9, 1522
8, 67, 103, 50
8, 68, 70, 210
8, 69, 12, 206
8, 70, 17, 1184
8, 71, 24, 1034
8, 72, 34, 958
8, 73, 3, 410
9, 10, 48, 320
9, 11, -176, 796
9, 12, 113, 117
9, 13, 173, 396
9, 14, 11, 902
9, 15, 99, 603
9, 16, 281, 432
9, 17, 8, 626
9, 18, -27, 866
9, 19, -19, 902
9, 20, -34, 1230
9, 21, 30, 469
9, 22, 92, 707
9, 23, 26, 317
9, 24, 18, 282
9, 25, -28, 1727
9, 26, 143, 585
9, 27, 94, 587
9, 28, 106, 251
9, 29, -169, 929
9, 30, 90, 358
9, 31, -85, 1010
9, 32, 218, 717
9, 33, 86, 395
9, 34, 227, 277
9, 35, -50, 1719
9, 36, 33, 1700
9, 37, 32, 465
9, 38, -704, 1723
9, 39, -58, 951
9, 40, 101, 215
9, 41, -325, 1466
9, 42, -42, 167
9, 43, 80, 592
9, 44, 12, 1195
9, 45, -50, 80
9, 46, 25, 1734
9, 47, 94, 722
9, 48, -26, 1122
9, 49, -32, 674
9, 50, 92, 1719
9, 51,-142, 988
9, 52, 5, 824
9, 53, 77, 673
9, 54, -93, 1478
9, 55, 14, 1003
9, 56, -47, 344
9, 57, -168, 1628
9, 58, -129, 1773
9, 59, -297, 1690
9, 60, -11, 1847
9, 61, -91, 1782
9, 62, -44, 1821
9, 63, 17, 586
9, 64, 10, 473
9, 65, -48, 261
9, 66, -6, 858
9, 67, -165, 813
9, 68, -60, 969
9, 69, 6, 588
9, 70, -35, 719
9, 71, -26, 646
9, 72, -4, 234
9, 73, -25, 1170
10, 11, -46, 1023
10, 12, -20, 413
10, 13, -38, 456
10, 14, 7, 1220
10, 15, -12, 300
10, 16, 48, 751
10, 17, 9, 401
10, 18, -16, 767
10, 19, 44, 1218
10, 20, -41, 1511
10, 21, 47, 176
10, 22, -44,388
10, 23, 80, 277
10, 24, -26, 123
10, 25, 41, 2047
10, 26, 103, 549
10, 27, 9, 383
10, 28, -76, 216
10, 29, 14, 1108
10, 30, -22, 644
10, 31, 58, 933
10, 32, 10, 398
10, 33, 33, 690
10, 34, -20, 308
10, 35, -13, 2036
10, 36, -1, 2001
10, 37, 18, 783
10, 38, -59, 2038
10, 39, -9, 1226
10, 40, 208, 104
10, 41, -87, 1772
10, 42, 53, 261
10, 43, 56, 429
10, 44, -27, 1094
10, 45, -51, 340
10, 46, -73, 2042
10, 47, -30, 403
10, 48, -40, 1308
10, 49, 60, 942
10, 50, 113, 2033
10, 51, 12, 890
10, 52, 3, 912
10, 53, -9, 354
10, 54, -68, 1778
10, 55, 103, 934
10, 56, -22, 627
10, 57, -64, 1940
10, 58, -60, 2093
10, 59, 66, 2001
10, 60, -15, 2167
10, 61, 5, 2102
10, 62, -8, 2141
10, 63, -30, 879
10, 64, -24, 620
10, 65, 29, 503
10, 66, 0, 547
10, 67, -41, 1046
10, 68, -12, 1181
10, 69, -2, 851
10, 70, 12, 440
10, 71, 1, 422
10, 72, -80, 103
10, 73, -9, 1375
11, 12, 0, 816
11, 13, 15, 615
11, 14, -21, 660
11, 15, -4, 1182
11, 16, 3, 590
11, 17, -49, 1043
11, 18, 34, 903
11, 19, 31, 602
11, 20, 55, 557
11, 21, -10, 1199
11, 22, -18, 1359
11, 23, -34, 782
11, 24, -7, 911
11, 25, -156, 1324
11, 26, 38, 714
11, 27, -49, 994
11, 28, -24, 814
11, 29, -330, 217
11, 30, 48, 863
11, 31, -215, 924
11, 32, -88, 1367
11, 33, -3, 451
11, 34, -62, 728
11, 35, 75, 1267
11, 36, 41, 1655
11, 37, 8, 553
11, 38, -596, 1238
11, 39, 72, 297
11, 40, -60, 944
11, 41, 224, 910
11, 42, 21, 764
11, 43, -18, 928
11, 44, -18, 1094
11, 45, -34, 854
11, 46, 65, 1622
11, 47, 82, 1374
11, 48, 45, 352
11, 49, -167, 195
11, 50, -16, 1212
11, 51, -241, 960
11, 52, -69, 446
11, 53, -50, 1299
11, 54, 66, 876
11, 55, -407, 901
11, 56, -91, 869
11, 57, 110, 1111
11, 58, 208, 1429
11, 59, -357, 1157
11, 60, 106, 1483
11, 61, 42, 1421
11, 62, 95, 1439
11, 63, 45, 341
11, 64, 58, 428
11, 65, 100, 538
11, 66, 42, 1547
11, 67, 174, 29
11, 68, 75, 178
11, 69, 37, 236
11, 70, 25, 1205
11, 71, 36, 1054
11, 72, 88, 987
11, 73, 19, 378
12, 13, 5, 497
12, 14, 38, 832
12, 15, 71, 707
12, 16, 22, 366
12, 17, 42, 742
12, 18, -26, 978
12, 19, 7, 839
12, 20, -40, 1205
12, 21, 30, 541
12, 22, 1, 794
12, 23, 0, 433
12, 24, -38, 394
12, 25, 66, 1651
12, 26, -36, 694
12, 27, -1, 704
12, 28, 44, 369
12, 29, 93, 971
12, 30, -142, 242
12, 31, 137, 1119
12, 32, -11, 804
12, 33, -65, 380
12, 34, 91, 390
12, 35, -14, 1648
12, 36, 55, 1592
12, 37, 48, 405
12, 38, 30, 1657
12, 39, -10, 935
12, 40, 82, 311
12, 41, -173, 1414
12, 42, -3, 283
12, 43, -12, 709
12, 44, 12, 1306
12, 45, -29, 73
12, 46, 69, 1629
12, 47, -15, 809
12, 48, -11, 1155
12, 49, 122, 671
12, 50, 54, 1656
12, 51, 105, 1099
12, 52, 40, 901
12, 53, 77, 767
12, 54, -78, 1434
12, 55,240, 1110
12, 56, 65, 227
12, 57, -29, 1568
12, 58, -19, 1689
12, 59, 112, 1631
12, 60, 8, 1764
12, 61, -2, 1700
12, 62, -22, 1740
12, 63, -21, 563
12, 64, -11, 544
12, 65, -40, 310
12, 66, -35, 931
12, 67, -22, 830
12, 68, -29, 993
12, 69, -6, 592
12, 70, -12, 830
12, 71, -19, 763
12, 72, -48, 315
12, 73, -6, 1194
13, 14, -1, 1015
13, 15, 24, 567
13, 16, -5, 617
13, 17, -1, 441
13, 18, -42, 499
13, 19, -26, 988
13, 20, -1, 1154
13, 21, 31, 625
13, 22, -57, 748
13, 23, 7, 181
13, 24, -101, 333
13, 25, 45, 1818
13, 26, 15, 210
13, 27, 59, 390
13, 28, 85, 242
13, 29, 185, 662
13, 30, -85, 704
13, 31, 68, 626
13, 32, -9, 756
13, 33, 62, 458
13, 34, 85, 152
13, 35, 9, 1785
13, 36, -45, 1945
13, 37, 78, 623
13, 38, 110, 1772
13, 39, -19, 870
13, 40, -28, 412
13, 41, -142, 1468
13, 42, -28, 252
13, 43, 1, 339
13, 44, 43, 817
13, 45, 33, 476
13, 46, 21, 1954
13, 47, 32, 763
13, 48, -17, 862
13, 49, 70, 596
13, 50, 73, 1756
13, 51, 44, 614
13, 52, -14, 461
13, 53, 9, 685
13, 54, -8, 1454
13, 55, 136, 616
13, 56, 45, 695
13, 57, -55, 1657
13, 58, -19, 1894
13, 59, 161, 1711
13, 60, -59, 1960
13, 61, 20, 1895
13, 62, -24, 1925
13, 63, -1, 598
13, 64, -19, 187
13, 65, -35, 264
13, 66, -40, 940
13, 67, 16, 642
13, 68,-37, 752
13, 69, -10, 511
13, 70, -38, 596
13, 71, 2, 455
13, 72, -43, 462
13, 73, -1, 936
14, 15, -10, 1484
14, 16, 22, 469
14, 17, 29, 1436
14, 18, -41, 1459
14, 19, -4, 67
14, 20, -6, 557
14, 21, 17, 1369
14, 22, 10, 1608
14, 23, 3, 1101
14, 24, -6, 1157
14, 25, 38, 826
14, 26, 3, 1199
14, 27, 44, 1387
14, 28, 13, 1083
14, 29, 98, 869
14, 30, -55, 684
14, 31, 153, 1525
14, 32, 20, 1618
14, 33, 32, 564
14, 34, 2, 1036
14, 35, 28, 817
14, 36, 6, 997
14, 37, 0, 437
14, 38, 100, 825
14, 39, -24, 457
14, 40, -31, 1117
14, 41, -95, 611
14, 42, -10, 993
14, 43, 14, 1350
14, 44, 36, 1710
14, 45, -60, 904
14, 46, 3, 974
14, 47, -67, 1624
14, 48, -5, 929
14, 49, 83, 501
14, 50, 45, 826
14, 51, 82, 1544
14, 52, -31, 1079
14, 53, 46, 1570
14, 54, -51, 655
14, 55, 175, 1505
14, 56, -1, 701
14, 57, -51, 742
14, 58, -1, 885
14, 59, 107, 806
14, 60, -25, 955
14, 61, 53, 890
14, 62, -37, 924
14, 63, -30, 425
14, 64, 21, 878
14, 65, -55, 775
14, 66, -19, 1759
14, 67, 6, 641
14, 68, -27, 764
14, 69, -6, 547
14, 70, 0, 1570
14, 71, 8, 1453
14, 72, -17, 1136
14, 73, -1, 887
15, 16, 17, 1023
15, 17, -56, 223
15, 18, 0, 649
15, 19, -9, 1474
15, 20, -9, 1711
15, 21, 0, 281
15, 22, 16, 196
15, 23, -32, 407
15, 24, -76, 328
15, 25, 68, 2311
15, 26, 16, 544
15, 27, 27, 247
15, 28, -2, 404
15, 29, 193, 1217
15, 30, -33, 943
15, 31, 185, 817
15, 32, -67, 201
15, 33, -1, 930
15, 34, -43, 470
15, 35, -17, 2292
15, 36, 13, 2299
15, 37, 3, 1049
15, 38, 20, 2288
15,39, 7, 1425
15, 40, 30, 396
15, 41, -12, 2004
15, 42, -14, 491
15, 43, 27, 328
15, 44, -1, 941
15, 45, -24, 637
15, 46, -9, 2336
15, 47, -52, 208
15, 48, -10, 1414
15, 49, 77, 1143
15, 50, 14, 2278
15, 51, 39, 758
15, 52, -28, 955
15, 53, 18, 125
15, 54, 2, 1999
15, 55, 229, 826
15, 56, 10, 926
15, 57, -38, 2183
15, 58, 9, 2366
15, 59, 196, 2241
15, 60, 9, 2438
15, 61, -16, 2373
15, 62, -20, 2409
15, 63, 5, 1109
15, 64, 0, 754
15, 65, -50, 723
15, 66, -31, 391
15, 67, 35, 1209
15, 68, -13, 1317
15, 69, -4, 1053
15, 70, 0, 157
15, 71, 1, 233
15, 72, -34, 403
15, 73, 2, 1495
16, 17, -7, 999
16, 18, -46, 1107
16, 19, -29, 473
16, 20, 6, 862
16, 21, 13, 899
16, 22, 14, 1140
16, 23, -88, 660
16, 24, -18, 695
16, 25, 81, 1295
16, 26, -23, 823
16, 27, -14, 952
16, 28, 2, 629
16, 29, 215, 791
16, 30, -63, 290
16, 31, 180, 1211
16, 32, -3, 1150
16, 33, 50, 184
16, 34, 65, 597
16, 35, 12, 1287
16, 36, -40, 1329
16, 37, 1, 44
16, 38, 274, 1293
16, 39, 44, 614
16, 40, 19, 648
16, 41, -51, 1049
16, 42, -11, 535
16, 43, -72, 929
16, 44, 99, 1403
16, 45, -99, 436
16, 46, -46, 1344
16, 47, -40, 1155
16, 48, 1, 941
16, 49, 125, 402
16, 50, -73, 1290
16, 51, 223, 1213
16, 52, -30, 853
16, 53, -35, 1103
16, 54, 5, 1071
16, 55, 217, 1195
16, 56, -4, 300
16, 57, -14, 1202
16, 58, 8, 1344
16, 59, 242, 1264
16, 60, -55, 1416
16, 61, 25, 1352
16, 62, -47, 1389
16, 63, -43, 259
16, 64, -31, 541
16, 65, -59, 353
16, 66, -49, 1289
16, 67, 11, 592
16, 68, 6, 763
16, 69, -22, 357
16, 70, 13, 1121
16, 71, -3, 1018
16, 72, -38, 666
16, 73, 4, 952
17, 18, 11,426
17, 19, -10, 1416
17, 20, -4, 1592
17, 21, 1, 465
17, 22, -7, 413
17, 23, -40, 338
17, 24, 24, 353
17, 25, 54, 2251
17, 26, -4, 352
17, 27, 23, 50
17, 28, -109, 379
17, 29, 132, 1047
17, 30, 91, 984
17, 31, 143, 594
17, 32, 36, 417
17, 33, 38, 871
17, 34, 73, 402
17, 35, 9, 2222
17, 36, 3, 2316
17, 37, 25, 1016
17, 38, 54, 2211
17, 39, 20, 1309
17, 40, -6, 463
17, 41, -82, 1909
17, 42, -12, 473
17, 43, -31, 122
17, 44, 49, 727
17, 45, 8, 682
17, 46, 0, 2340
17, 47, 3, 424
17, 48, -8, 1238
17, 49, 62, 1037
17, 50, -5, 2196
17, 51, 50, 538
17, 52, 36, 761
17, 53, -9, 341
17, 54, -22, 1895
17, 55, 122, 602
17, 56, 8, 969
17, 57, -37, 2098
17, 58, 3, 2321
17, 59, 129, 2152
17, 60, -24, 2389
17, 61, 33, 2324
17, 62, 6, 2355
17, 63, -4, 1032
17, 64, -32, 621
17, 65, -55, 660
17, 66, -22, 603
17, 67, 10, 1072
17, 68, 3, 1160
17, 69, -4, 952
17, 70, -4, 164
17, 71, -9, 21
17, 72, 26, 493
17, 73, -1, 1326
18, 19, -24, 1420
18, 20, -25, 1454
18, 21, 38, 874
18, 22, 53, 834
18, 23, 5, 556
18, 24, 20, 670
18, 25, -2, 2216
18, 26, -11, 289
18, 27, 14, 412
18, 28, 52, 633
18, 29, 29, 820
18, 30, -12, 1199
18, 31, 29, 169
18, 32, 23, 837
18, 33, 48, 935
18, 34, 36, 589
18, 35, -39, 2166
18, 36, 47, 2425
18, 37, 38, 1107
18, 38, -79, 2140
18, 39, 1, 1200
18, 40, -28, 788
18, 41, -166, 1814
18, 42, 27, 700
18, 43, 87, 343
18, 44, 16, 333
18, 45, 5, 942
18, 46, 19, 2423
18, 47, 44, 843
18, 48, -32, 979
18, 49, 98, 979
18, 50, 45, 2116
18, 51, -56, 125
18, 52, 53, 491
18, 53, 34, 763
18, 54, -23, 1778
18, 55, 23, 176
18, 56, -16, 1189
18, 57, -45, 2015
18, 58, -44, 2310
18, 59, 38, 2060
18, 60, -12, 2370
18, 61, 7, 2306
18, 62, 27, 2329
18, 63, -18, 1034
18, 64, 22, 583
18, 65, -1, 760
18, 66, 2, 1017
18, 67, -71, 933
18, 68, -4, 959
18, 69, 5, 915
18, 70, -24, 550
18, 71, 17, 416
18, 72, -5, 831
18, 73, -3, 1080
19, 20, -4, 497
19, 21, 4, 1371
19, 22, 8, 1605
