c1,c2,dis,nm
6,18,1010,-8
6,68,75,-8
6,69,485,-8
7,40,1717,-8
8,65,508,-8
9,61,1782,-8
9,70,719,-8
11,52,446,-8
11,60,1483,-8
11,63,341,-8
13,30,704,-8
13,35,1785,-8
14,18,1459,-8
14,23,1101,-8
15,34,470,-8
17,19,1416,-8
17,48,1238,-8
18,30,1199,-8
20,59,618,-8
20,61,950,-8
20,67,527,-8
21,23,444,-8
21,25,2191,-8
22,28,555,-8
24,33,608,-8
25,26,1984,-8
25,49,1241,-8
25,62,117,-8
27,36,2272,-8
28,57,1779,-8
29,66,1600,-8
31,60,2407,-8
31,66,1178,-8
31,71,583,-8
32,43,528,-8
32,63,1266,-8
34,39,956,-8
35,58,258,-8
35,61,227,-8
36,68,1739,-8
41,59,246,-8
41,70,2062,-8
42,70,585,-8
44,67,1121,-8
48,68,180,-8
50,71,2211,-8
52,69,546,-8
54,67,846,-8
55,56,1311,-8
57,65,1459,-8
60,71,2406,-8
62,68,1448,-8
65,71,678,-8
65,72,452,-8
70,73,1490,-8
71,73,1332,-8
0,3,955,-7
0,16,1390,-7
0,53,2493,-7
0,64,1778,-7
1,18,707,-7
2,40,81,-7
3,13,985,-7
3,21,1344,-7
4,6,1418,-7
4,73,1526,-7
6,17,1226,-7
6,21,1431,-7
6,34,952,-7
7,15,2075,-7
7,17,2005,-7
7,22,2207,-7
9,11,796,-7
11,21,1199,-7
11,53,1299,-7
11,56,869,-7
14,52,1079,-7
14,56,701,-7
15,43,328,-7
15,56,926,-7
16,34,597,-7
16,72,666,-7
17,21,465,-7
18,54,1778,-7
23,30,669,-7
24,45,331,-7
25,37,1264,-7
27,37,969,-7
27,72,468,-7
29,50,1337,-7
29,70,1211,-7
30,57,1425,-7
30,68,1040,-7
31,52,482,-7
39,49,284,-7
45,54,1500,-7
46,65,1695,-7
46,73,1762,-7
47,62,2544,-7
48,58,1553,-7
49,56,692,-7
49,63,146,-7
50,61,352,-7
54,60,717,-7
55,64,655,-7
55,66,1190,-7
56,73,1241,-7
57,62,400,-7
57,69,1146,-7
61,63,1296,-7
69,73,611,-7
0,5,865,-6
0,7,392,-6
0,17,2360,-6
0,31,2376,-6
0,48,1561,-6
0,71,2377,-6
2,15,452,-6
2,28,135,-6
3,19,57,-6
4,5,1672,-6
4,48,1446,-6
5,18,1484,-6
5,35,681,-6
5,73,663,-6
6,23,1000,-6
7,31,1988,-6
9,17,626,-6
10,21,176,-6
10,56,627,-6
10,68,1181,-6
12,28,369,-6
13,64,187,-6
13,73,936,-6
14,36,997,-6
14,63,425,-6
15,27,247,-6
15,70,157,-6
16,71,1018,-6
17,52,761,-6
17,53,341,-6
17,70,164,-6
18,42,700,-6
18,46,2423,-6
18,72,831,-6
19,43,1326,-6
20,40,1419,-6
20,65,1008,-6
21,61,2241,-6
22,66,196,-6
22,67,1385,-6
23,25,1922,-6
23,39,1017,-6
24,34,188,-6
24,57,1863,-6
26,28,373,-6
26,34,311,-6
26,40,542,-6
26,63,776,-6
27,35,2172,-6
27,42,431,-6
27,73,1279,-6
28,46,1964,-6
28,48,1092,-6
28,53,503,-6
28,56,595,-6
28,63,706,-6
28,70,491,-6
30,52,1052,-6
30,60,1573,-6
30,69,627,-6
32,39,1598,-6
32,56,1005,-6
32,65,882,-6
33,34,472,-6
34,54,1529,-6
34,73,1069,-6
35,59,196,-6
35,66,2576,-6
35,67,1238,-6
43,63,938,-6
44,46,2684,-6
44,52,647,-6
46,68,1693,-6
48,59,1194,-6
50,51,2171,-6
50,54,363,-6
52,54,1301,-6
52,58,1876,-6
54,68,836,-6
57,59,65,-6
59,66,2547,-6
59,71,2166,-6
60,61,65,-6
60,69,1462,-6
61,72,2013,-6
62,65,1697,-6
66,73,1876,-6
67,72,1008,-6
0,13,1931,-5
0,28,2011,-5
0,54,687,-5
1,3,1285,-5
1,6,1292,-5
1,23,292,-5
1,60,2262,-5
2,11,864,-5
2,20,1337,-5
2,63,702,-5
3,15,1457,-5
3,18,1429,-5
3,20,554,-5
3,28,1055,-5
3,33,535,-5
3,70,1542,-5
4,13,595,-5
4,20,1736,-5
4,32,167,-5
4,36,2304,-5
5,15,1651,-5
5,19,286,-5
5,47,1815,-5
5,62,851,-5
6,13,824,-5
6,14,798,-5
6,28,1042,-5
6,42,1001,-5
7,14,603,-5
7,16,1072,-5
7,20,588,-5
7,28,1671,-5
7,29,1215,-5
7,42,1584,-5
8,32,1343,-5
9,19,902,-5
9,41,1466,-5
9,53,673,-5
11,33,451,-5
12,46,1629,-5
12,63,563,-5
14,39,457,-5
15,40,396,-5
15,71,233,-5
16,21,899,-5
16,22,1140,-5
18,22,834,-5
18,24,670,-5
18,33,935,-5
18,36,2425,-5
18,45,942,-5
18,57,2015,-5
18,64,583,-5
19,24,1148,-5
19,28,1071,-5
19,68,700,-5
20,31,1456,-5
20,37,818,-5
22,30,1014,-5
23,72,300,-5
24,37,721,-5
24,71,374,-5
25,52,1769,-5
26,43,229,-5
27,46,2295,-5
28,32,564,-5
30,35,1483,-5
30,56,18,-5
31,50,2131,-5
32,46,2424,-5
32,58,2491,-5
34,48,1000,-5
34,56,608,-5
36,63,1403,-5
37,57,1165,-5
37,61,1324,-5
37,71,1035,-5
39,53,1534,-5
40,61,1998,-5
42,73,1122,-5
44,51,208,-5
45,55,1082,-5
45,66,858,-5
46,69,1520,-5
47,61,2505,-5
47,68,1516,-5
48,67,349,-5
49,69,91,-5
51,68,994,-5
54,65,1281,-5
55,72,992,-5
58,63,1296,-5
60,72,2077,-5
61,64,1743,-5
0,22,2529,-4
0,39,1158,-4
0,68,1465,-4
0,72,2051,-4
1,34,342,-4
3,23,1073,-4
3,39,439,-4
3,71,1424,-4
4,16,1037,-4
4,19,1491,-4
4,24,343,-4
4,56,930,-4
4,66,357,-4
5,39,293,-4
5,42,1169,-4
6,19,732,-4
6,24,1139,-4
6,27,1179,-4
6,31,988,-4
6,38,1201,-4
6,62,1436,-4
6,63,572,-4
8,24,884,-4
8,64,405,-4
10,51,890,-4
12,20,1205,-4
12,37,405,-4
12,73,1194,-4
13,28,242,-4
13,46,1954,-4
14,17,1436,-4
14,30,684,-4
14,33,564,-4
15,28,404,-4
15,37,1049,-4
15,72,403,-4
16,23,660,-4
16,40,648,-4
17,23,338,-4
18,58,2310,-4
18,69,915,-4
19,70,1554,-4
20,48,587,-4
20,69,662,-4
21,37,933,-4
21,45,467,-4
21,72,234,-4
22,57,2325,-4
22,71,419,-4
23,35,1897,-4
23,61,1991,-4
23,67,807,-4
24,39,1127,-4
24,64,500,-4
25,60,168,-4
25,63,1220,-4
26,72,590,-4
28,64,404,-4
31,42,848,-4
31,70,710,-4
31,72,994,-4
32,69,1223,-4
32,72,489,-4
32,73,1690,-4
33,70,1008,-4
35,45,1721,-4
35,63,1190,-4
37,43,942,-4
39,40,1135,-4
44,61,2515,-4
44,62,2532,-4
44,63,1293,-4
46,54,1088,-4
47,48,1618,-4
47,65,888,-4
50,55,2107,-4
52,57,1547,-4
52,64,356,-4
53,66,265,-4
53,71,348,-4
58,62,87,-4
61,69,1398,-4
64,70,780,-4
65,70,796,-4
70,72,542,-4
0,1,2236,-3
0,24,2083,-3
0,52,1898,-3
0,67,1424,-3
0,69,1433,-3
0,73,1473,-3
1,15,191,-3
1,16,846,-3
1,21,171,-3
1,24,163,-3
1,64,651,-3
2,5,1243,-3
2,6,1104,-3
2,16,576,-3
2,39,1053,-3
2,43,465,-3
2,52,811,-3
2,68,1029,-3
3,63,395,-3
4,23,432,-3
4,28,423,-3
4,34,493,-3
4,57,2203,-3
4,65,744,-3
5,13,1117,-3
5,27,1508,-3
6,37,790,-3
7,12,1435,-3
7,13,1569,-3
7,21,1972,-3
7,70,2149,-3
8,26,698,-3
8,33,420,-3
8,50,1220,-3
8,70,1184,-3
9,52,824,-3
9,55,1003,-3
9,62,1821,-3
10,20,1511,-3
10,46,2042,-3
11,15,1182,-3
11,55,901,-3
11,72,987,-3
13,22,748,-3
13,52,461,-3
13,72,462,-3
14,25,826,-3
14,28,1083,-3
14,37,437,-3
14,40,1117,-3
15,30,943,-3
15,66,391,-3
15,73,1495,-3
16,17,999,-3
16,30,290,-3
16,35,1287,-3
16,37,44,-3
16,46,1344,-3
17,27,50,-3
19,32,1615,-3
19,42,983,-3
19,71,1432,-3
20,55,1431,-3
21,69,1024,-3
22,68,1501,-3
23,51,680,-3
24,62,2081,-3
25,29,1474,-3
25,34,1856,-3
27,48,1193,-3
28,30,609,-3
28,40,174,-3
30,32,1023,-3
30,40,546,-3
31,39,1221,-3
31,63,1106,-3
31,69,978,-3
32,37,1180,-3
32,64,942,-3
33,52,669,-3
33,53,1025,-3
35,43,2125,-3
35,50,126,-3
36,64,1842,-3
36,71,2336,-3
38,44,2319,-3
38,48,1299,-3
38,73,1204,-3
40,73,1304,-3
41,66,2319,-3
42,72,228,-3
44,50,2289,-3
44,54,1935,-3
45,57,1639,-3
45,61,1774,-3
45,70,763,-3
46,52,2053,-3
46,63,1392,-3
47,51,946,-3
47,55,1019,-3
47,59,2400,-3
47,70,301,-3
50,66,2577,-3
51,55,91,-3
51,60,2439,-3
52,71,763,-3
52,73,591,-3
53,55,939,-3
55,70,722,-3
56,58,1515,-3
58,61,36,-3
62,66,2672,-3
62,73,1452,-3
63,65,386,-3
64,65,240,-3
65,73,909,-3
69,71,966,-3
0,23,2028,-2
0,47,2544,-2
0,49,1361,-2
0,58,64,-2
0,59,430,-2
1,19,1306,-2
2,14,1044,-2
2,62,1966,-2
3,22,1582,-2
3,26,1170,-2
3,32,1592,-2
3,56,683,-2
4,12,713,-2
4,26,578,-2
4,39,1450,-2
4,43,363,-2
4,44,974,-2
4,49,1167,-2
4,52,988,-2
4,61,2388,-2
4,64,783,-2
4,71,267,-2
5,14,339,-2
5,23,1246,-2
5,52,1034,-2
6,15,1387,-2
6,35,1245,-2
7,24,1750,-2
7,48,1172,-2
7,56,1295,-2
7,71,2021,-2
8,14,647,-2
8,15,1159,-2
8,17,1023,-2
8,27,973,-2
8,31,922,-2
8,45,823,-2
9,59,1690,-2
10,23,277,-2
10,57,1940,-2
10,58,2093,-2
10,67,1046,-2
11,32,1367,-2
11,64,428,-2
11,70,1205,-2
11,71,1054,-2
12,69,592,-2
13,49,596,-2
14,20,557,-2
14,60,955,-2
14,73,887,-2
15,16,1023,-2
15,23,407,-2
15,24,328,-2
16,45,436,-2
16,66,1289,-2
16,70,1121,-2
17,24,353,-2
18,39,1200,-2
18,43,343,-2
18,60,2370,-2
20,26,1271,-2
21,57,2097,-2
22,37,1171,-2
22,40,492,-2
22,41,2152,-2
22,48,1604,-2
23,56,656,-2
23,68,927,-2
24,56,621,-2
24,63,792,-2
25,32,2445,-2
26,32,745,-2
26,65,472,-2
30,66,1131,-2
30,70,1070,-2
31,49,1030,-2
31,53,929,-2
31,62,2363,-2
32,48,1611,-2
33,35,1362,-2
34,46,1940,-2
34,52,613,-2
35,62,209,-2
35,68,1261,-2
36,60,674,-2
36,65,1683,-2
37,48,904,-2
37,56,344,-2
38,67,1208,-2
39,63,373,-2
40,52,873,-2
40,64,558,-2
41,44,1985,-2
41,51,1867,-2
43,54,1787,-2
44,66,1275,-2
45,51,1065,-2
47,52,1163,-2
47,66,182,-2
49,51,1055,-2
50,53,2374,-2
50,57,101,-2
51,61,2376,-2
52,59,1589,-2
52,68,470,-2
55,73,1014,-2
56,61,1529,-2
58,65,1660,-2
60,66,2695,-2
62,69,1424,-2
62,72,2052,-2
64,71,634,-2
66,71,608,-2
67,71,1082,-2
0,8,1454,-1
0,35,236,-1
0,43,2270,-1
0,51,2408,-1
1,13,473,-1
1,14,1312,-1
1,37,874,-1
1,58,2190,-1
2,3,1018,-1
2,33,512,-1
2,35,1859,-1
2,54,1600,-1
3,49,473,-1
3,61,918,-1
4,22,161,-1
4,30,947,-1
4,70,178,-1
5,33,731,-1
5,63,543,-1
5,71,1573,-1
6,26,879,-1
6,46,1706,-1
6,71,1234,-1
7,36,853,-1
7,47,2223,-1
8,13,592,-1
8,34,701,-1
8,52,448,-1
8,53,1274,-1
8,55,899,-1
10,33,690,-1
10,35,2036,-1
10,49,942,-1
11,50,1212,-1
12,42,283,-1
12,51,1099,-1
12,56,227,-1
12,61,1700,-1
12,62,1740,-1
13,39,870,-1
13,53,685,-1
13,58,1894,-1
14,45,904,-1
14,47,1624,-1
15,26,544,-1
15,39,1425,-1
15,49,1143,-1
15,63,1109,-1
16,64,541,-1
17,30,984,-1
17,73,1326,-1
18,34,589,-1
18,49,979,-1
18,53,763,-1
18,68,959,-1
19,58,906,-1
20,64,970,-1
21,58,2231,-1
21,63,1046,-1
22,33,1070,-1
22,58,2481,-1
23,26,293,-1
23,46,2003,-1
24,28,97,-1
24,35,1967,-1
24,60,2110,-1
24,70,436,-1
25,27,2201,-1
25,33,1384,-1
25,42,1819,-1
25,71,2267,-1
26,54,1585,-1
26,55,417,-1
26,64,324,-1
26,66,935,-1
26,67,744,-1
26,70,516,-1
27,60,2339,-1
27,68,1112,-1
28,45,318,-1
28,68,968,-1
28,69,658,-1
29,47,1420,-1
30,39,904,-1
30,58,1497,-1
30,63,546,-1
31,34,735,-1
32,34,643,-1
32,35,2433,-1
32,47,7,-1
32,71,423,-1
33,36,1491,-1
34,53,578,-1
34,68,878,-1
34,71,421,-1
35,55,2167,-1
35,71,2238,-1
37,46,1332,-1
37,60,1388,-1
38,61,301,-1
39,51,1257,-1
39,55,1197,-1
39,59,861,-1
39,70,1466,-1
40,68,1107,-1
42,48,1061,-1
44,59,2227,-1
44,68,1099,-1
45,68,1030,-1
47,58,2496,-1
49,60,1392,-1
50,72,1954,-1
51,53,868,-1
52,67,474,-1
55,57,2006,-1
55,65,863,-1
55,69,958,-1
55,71,592,-1
57,71,2112,-1
58,70,2456,-1
61,70,2460,-1
62,70,2494,-1
66,69,1393,-1
69,70,1104,-1
0,70,2498,0
1,56,735,0
1,67,1094,0
2,24,133,0
2,56,487,0
3,43,1321,0
4,35,2310,0
4,53,92,0
4,54,2022,0
5,26,1266,0
5,68,610,0
5,72,1351,0
6,66,1764,0
7,27,1955,0
7,66,2362,0
8,22,1334,0
8,40,916,0
8,51,955,0
8,60,1484,0
9,50,1719,0
9,71,646,0
10,12,413,0
10,25,2047,0
10,40,104,0
11,12,816,0
11,23,782,0
11,24,911,0
11,62,1439,0
12,23,433,0
12,32,804,0
12,52,901,0
13,16,617,0
13,70,596,0
14,34,1036,0
14,48,929,0
14,61,890,0
14,66,1759,0
14,70,1570,0
15,18,649,0
15,55,826,0
16,60,1416,0
16,61,1352,0
17,42,473,0
17,66,603,0
18,26,289,0
18,47,843,0
18,52,491,0
19,20,497,0
19,30,709,0
19,39,390,0
19,41,583,0
21,32,277,0
21,52,1075,0
21,60,2305,0
22,23,577,0
22,24,464,0
22,61,2490,0
23,49,735,0
24,52,789,0
24,67,935,0
24,69,751,0
25,40,1943,0
26,37,826,0
27,32,447,0
27,63,982,0
28,33,526,0
28,42,95,0
29,39,457,0
29,48,200,0
30,31,1331,0
30,34,620,0
31,33,1031,0
31,35,2191,0
31,43,513,0
32,33,1080,0
32,44,1110,0
32,66,189,0
32,70,295,0
33,48,802,0
33,56,420,0
34,37,613,0
34,67,752,0
35,42,1801,0
35,65,1571,0
37,39,570,0
39,62,1144,0
41,52,1344,0
43,61,2234,0
43,70,286,0
45,48,1187,0
45,49,721,0
45,72,242,0
46,57,883,0
46,58,492,0
48,51,991,0
48,55,911,0
49,73,550,0
52,53,1080,0
52,61,1868,0
52,63,682,0
52,72,923,0
53,68,1438,0
55,60,2384,0
55,67,929,0
56,67,875,0
57,64,1486,0
60,62,54,0
63,64,453,0
68,71,1168,0
0,6,1454,1
0,20,975,1
0,57,426,1
1,22,301,1
1,49,1005,1
2,30,503,1
2,49,770,1
2,57,1762,1
2,65,332,1
3,46,1003,1
3,52,1051,1
3,54,667,1
3,64,849,1
4,25,2327,1
4,27,282,1
5,12,1075,1
5,48,734,1
5,60,895,1
5,61,834,1
6,70,1391,1
7,32,2217,1
7,50,232,1
7,62,376,1
7,72,1738,1
10,55,934,1
10,60,2167,1
10,64,620,1
12,49,671,1
12,55,1110,1
12,58,1689,1
12,65,310,1
12,68,993,1
13,15,567,1
13,61,1895,1
13,69,511,1
14,46,974,1
15,61,2373,1
15,64,754,1
16,26,823,1
16,33,184,1
16,49,402,1
16,53,1103,1
16,54,1071,1
16,57,1202,1
16,68,763,1
17,56,969,1
17,61,2324,1
18,29,820,1
18,62,2329,1
18,67,933,1
18,71,416,1
20,23,1304,1
20,33,834,1
20,46,1286,1
20,51,1499,1
20,52,975,1
21,33,855,1
22,32,10,1
22,43,524,1
22,46,2414,1
22,70,294,1
23,34,65,1
23,52,634,1
24,32,474,1
24,41,1688,1
24,51,795,1
24,66,641,1
25,45,1724,1
25,46,624,1
25,55,2225,1
25,70,2392,1
26,39,997,1
26,44,611,1
27,39,1259,1
27,56,931,1
27,65,612,1
28,55,784,1
29,52,328,1
31,46,2498,1
32,60,2564,1
33,54,1088,1
33,55,1015,1
33,72,622,1
34,35,1831,1
34,70,535,1
37,53,1132,1
37,58,1317,1
37,70,1142,1
38,39,940,1
39,42,965,1
39,56,915,1
39,61,1128,1
41,45,1483,1
42,47,646,1
42,61,1882,1
43,46,2273,1
43,69,850,1
44,55,208,1
44,60,2577,1
46,61,529,1
46,70,2451,1
47,64,949,1
48,52,493,1
48,63,688,1
51,54,1825,1
51,62,2396,1
52,55,458,1
54,63,898,1
54,70,2050,1
55,61,2321,1
56,63,555,1
56,68,1046,1
56,70,1054,1
57,70,2247,1
58,60,78,1
